Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-04-05,All,5508,1722,2022-04-05,30
2022-04-05,All,5508,1723,2022-04-04,30
2022-04-05,All,5524,621,2022-04-03,30
2022-04-05,All,5524,414,2022-04-02,30
2022-04-05,All,5524,1619,2022-04-01,30
2022-04-05,All,5553,1650,2022-03-31,30
2022-04-05,All,5552,1688,2022-03-30,30
2022-04-05,All,5552,1610,2022-03-29,30
2022-04-05,All,5552,1643,2022-03-28,30
2022-04-05,All,5548,511,2022-03-27,30
2022-04-05,All,5548,429,2022-03-26,30
2022-04-05,All,5549,1600,2022-03-25,30
2022-04-05,All,5548,1717,2022-03-24,30
2022-04-05,All,5548,1714,2022-03-23,30
2022-04-05,All,5548,1728,2022-03-22,30
2022-04-05,All,5541,1646,2022-03-21,30
2022-04-05,All,5541,507,2022-03-20,30
2022-04-05,All,5541,360,2022-03-19,30
2022-04-05,All,5540,1546,2022-03-18,30
2022-04-05,All,5534,1645,2022-03-17,30
2022-04-05,All,5533,1656,2022-03-16,30
2022-04-05,All,5533,1653,2022-03-15,30
2022-04-05,All,5533,1739,2022-03-14,30
2022-04-05,All,5534,551,2022-03-13,30
2022-04-05,All,5534,437,2022-03-12,30
2022-04-05,All,5530,1645,2022-03-11,30
2022-04-05,All,5530,1699,2022-03-10,30
2022-04-05,All,5530,1671,2022-03-09,30
2022-04-05,All,5530,1665,2022-03-08,30
2022-04-05,All,5527,1674,2022-03-07,30
