Report Refresh Date,Report Period,Report Date,Outlook,Word,Excel,PowerPoint,OneNote,Teams
2022-04-04,180,2022-04-04,267,1355,1636,893,38,3847
2022-04-04,180,2022-04-03,125,409,630,360,27,2172
2022-04-04,180,2022-04-02,95,315,448,222,14,1663
2022-04-04,180,2022-04-01,232,1071,1267,749,64,3739
2022-04-04,180,2022-03-31,236,1079,1202,636,71,3854
2022-04-04,180,2022-03-30,228,1198,1244,722,64,3797
2022-04-04,180,2022-03-29,245,1185,1274,730,72,3709
2022-04-04,180,2022-03-28,255,1162,1291,811,80,3795
2022-04-04,180,2022-03-27,130,520,601,342,29,1961
2022-04-04,180,2022-03-26,112,309,436,212,26,1648
2022-04-04,180,2022-03-25,219,849,1165,570,67,3660
2022-04-04,180,2022-03-24,243,944,1188,667,23,3894
2022-04-04,180,2022-03-23,233,958,1199,662,61,3928
2022-04-04,180,2022-03-22,247,1250,1275,703,21,3814
2022-04-04,180,2022-03-21,246,1125,1288,713,34,3839
2022-04-04,180,2022-03-20,122,367,481,242,28,2028
2022-04-04,180,2022-03-19,89,328,406,213,22,1579
2022-04-04,180,2022-03-18,227,1071,1159,665,71,3705
2022-04-04,180,2022-03-17,246,1311,1264,732,73,3877
2022-04-04,180,2022-03-16,238,1099,1188,691,73,3842
2022-04-04,180,2022-03-15,248,1268,1240,766,70,3942
2022-04-04,180,2022-03-14,253,1285,1431,738,41,3950
2022-04-04,180,2022-03-13,136,434,567,313,24,1981
2022-04-04,180,2022-03-12,97,328,428,208,18,1775
2022-04-04,180,2022-03-11,228,963,1166,595,77,3740
2022-04-04,180,2022-03-10,236,1269,1225,804,40,3831
2022-04-04,180,2022-03-09,235,1159,1177,739,60,3889
2022-04-04,180,2022-03-08,232,1091,1183,674,62,3902
2022-04-04,180,2022-03-07,246,1221,1251,785,30,3989
2022-04-04,180,2022-03-06,137,425,517,316,31,2277
2022-04-04,180,2022-03-05,103,338,416,247,27,1589
2022-04-04,180,2022-03-04,235,1269,1315,917,85,3748
2022-04-04,180,2022-03-03,136,505,529,439,36,2341
2022-04-04,180,2022-03-02,219,993,1040,777,30,3820
2022-04-04,180,2022-03-01,240,1138,1275,861,77,4025
2022-04-04,180,2022-02-28,126,403,556,328,21,2354
2022-04-04,180,2022-02-27,94,262,373,172,21,1761
