Report Refresh Date,Viewed Or Edited,Synced,Shared Internally,Shared Externally,Report Date,Report Period
2022-04-05,4372,2028,69,3,2022-04-05,180
2022-04-05,7122,1942,45,3,2022-04-04,180
2022-04-05,928,358,82,2,2022-04-03,180
2022-04-05,700,312,3,,2022-04-02,180
2022-04-05,3736,1633,40,3,2022-04-01,180
2022-04-05,3967,1575,56,5,2022-03-31,180
2022-04-05,11326,1430,45,4,2022-03-30,180
2022-04-05,3824,1658,38,,2022-03-29,180
2022-04-05,4339,1181,53,1,2022-03-28,180
2022-04-05,670,222,2,,2022-03-27,180
2022-04-05,661,360,10,,2022-03-26,180
2022-04-05,5708,1835,169,2,2022-03-25,180
2022-04-05,5256,1221,97,1,2022-03-24,180
2022-04-05,6939,2169,29,2,2022-03-23,180
2022-04-05,10736,1312,40,3,2022-03-22,180
2022-04-05,21642,2696,37,1,2022-03-21,180
2022-04-05,620,374,2,,2022-03-20,180
2022-04-05,496,135,1,,2022-03-19,180
2022-04-05,19877,1225,35,,2022-03-18,180
2022-04-05,6232,1329,33,1,2022-03-17,180
2022-04-05,3326,16135,45,,2022-03-16,180
2022-04-05,3365,1275,31,1,2022-03-15,180
2022-04-05,10660,1166,39,2,2022-03-14,180
2022-04-05,1862,473,5,,2022-03-13,180
2022-04-05,641,171,2,,2022-03-12,180
2022-04-05,5963,1116,110,1,2022-03-11,180
2022-04-05,5934,1390,43,1,2022-03-10,180
2022-04-05,6370,2504,26,5,2022-03-09,180
2022-04-05,5816,2673,50,11,2022-03-08,180
2022-04-05,7155,2172,46,12,2022-03-07,180
2022-04-05,2892,192,9,,2022-03-06,180
2022-04-05,963,628,2,,2022-03-05,180
2022-04-05,15104,2235,34,11,2022-03-04,180
2022-04-05,806,659,7,,2022-03-03,180
2022-04-05,5362,3861,33,,2022-03-02,180
2022-04-05,7665,2656,58,1,2022-03-01,180
2022-04-05,882,375,3,,2022-02-28,180
2022-04-05,448,560,1,,2022-02-27,180
2022-04-05,597,247,5,2,2022-02-26,180
2022-04-05,12975,3112,46,2,2022-02-25,180
2022-04-05,23136,1973,77,,2022-02-24,180
2022-04-05,3944,2473,69,2,2022-02-23,180
2022-04-05,2835,1547,23,1,2022-02-22,180
2022-04-05,3420,6706,47,1,2022-02-21,180
2022-04-05,947,1475,4,,2022-02-20,180
2022-04-05,751,186,5,,2022-02-19,180
2022-04-05,5746,1713,22,,2022-02-18,180
2022-04-05,3239,1692,117,,2022-02-17,180
2022-04-05,30884,2125,20,,2022-02-16,180
2022-04-05,8726,1136,32,1,2022-02-15,180
2022-04-05,8837,1510,173,,2022-02-14,180
2022-04-05,673,229,4,,2022-02-13,180
2022-04-05,5575,929,9,,2022-02-12,180
2022-04-05,4226,8748,29,1,2022-02-11,180
2022-04-05,3301,15453,15,,2022-02-10,180
2022-04-05,5492,1114,25,2,2022-02-09,180
2022-04-05,5108,2061,29,3,2022-02-08,180
2022-04-05,4668,2233,37,3,2022-02-07,180
2022-04-05,25487,577,11,,2022-02-06,180
2022-04-05,438,1793,4,,2022-02-05,180
2022-04-05,7334,6219,364,1,2022-02-04,180
2022-04-05,4858,1745,49,3,2022-02-03,180
2022-04-05,6960,3437,35,,2022-02-02,180
2022-04-05,776,211,9,3,2022-02-01,180
2022-04-05,4223,813,20,2,2022-01-31,180
2022-04-05,2247,353,47,1,2022-01-30,180
2022-04-05,2298,420,3,,2022-01-29,180
2022-04-05,14582,1629,38,,2022-01-28,180
2022-04-05,20980,7986,41,2,2022-01-27,180
2022-04-05,5868,1079,29,,2022-01-26,180
2022-04-05,8987,7040,49,,2022-01-25,180
2022-04-05,13601,7816,31,1,2022-01-24,180
2022-04-05,8259,169,31,,2022-01-23,180
2022-04-05,4456,114,21,,2022-01-22,180
2022-04-05,5317,1060,35,2,2022-01-21,180
2022-04-05,9006,7322,25,,2022-01-20,180
2022-04-05,5805,2204,95,1,2022-01-19,180
2022-04-05,8366,1531,112,9,2022-01-18,180
2022-04-05,5034,3133,22,,2022-01-17,180
2022-04-05,886,339,6,,2022-01-16,180
2022-04-05,500,544,1,,2022-01-15,180
2022-04-05,4671,2548,17,,2022-01-14,180
2022-04-05,9540,1729,18,,2022-01-13,180
2022-04-05,13290,3262,49,1,2022-01-12,180
2022-04-05,2515,9263,30,3,2022-01-11,180
2022-04-05,2550,1063,24,2,2022-01-10,180
2022-04-05,496,211,15,,2022-01-09,180
2022-04-05,448,91,6,,2022-01-08,180
2022-04-05,12228,1331,37,,2022-01-07,180
2022-04-05,7598,966,30,,2022-01-06,180
2022-04-05,6667,1143,21,2,2022-01-05,180
2022-04-05,2583,715,21,1,2022-01-04,180
2022-04-05,2208,1124,17,,2022-01-03,180
2022-04-05,348,101,,,2022-01-02,180
2022-04-05,350,278,2,1,2022-01-01,180
2022-04-05,4188,529,9,,2021-12-31,180
2022-04-05,1655,721,21,,2021-12-30,180
2022-04-05,11373,960,15,1,2021-12-29,180
2022-04-05,5883,1209,19,1,2021-12-28,180
2022-04-05,7596,705,6,1,2021-12-27,180
2022-04-05,440,322,2,,2021-12-26,180
2022-04-05,230,207,1,,2021-12-25,180
2022-04-05,2080,504,13,,2021-12-24,180
2022-04-05,9059,8698,11,1,2021-12-23,180
2022-04-05,4523,1246,12,1,2021-12-22,180
2022-04-05,2984,2228,15,1,2021-12-21,180
2022-04-05,7759,678,14,1,2021-12-20,180
2022-04-05,366,1368,,,2021-12-19,180
2022-04-05,726,4184,1,,2021-12-18,180
2022-04-05,3554,2960,8,,2021-12-17,180
2022-04-05,11096,1127,17,1,2021-12-16,180
2022-04-05,2218,1597,33,2,2021-12-15,180
2022-04-05,3978,851,21,,2021-12-14,180
2022-04-05,3012,1720,16,2,2021-12-13,180
2022-04-05,937,126,8,,2021-12-12,180
2022-04-05,653,125,2,,2021-12-11,180
2022-04-05,3500,573,20,2,2021-12-10,180
2022-04-05,5386,989,23,,2021-12-09,180
2022-04-05,3935,1012,26,1,2021-12-08,180
2022-04-05,3986,632,8,1,2021-12-07,180
2022-04-05,6538,1591,16,1,2021-12-06,180
2022-04-05,1364,486,5,,2021-12-05,180
2022-04-05,1345,77,4,,2021-12-04,180
2022-04-05,3273,1116,16,9,2021-12-03,180
2022-04-05,3898,17115,21,,2021-12-02,180
2022-04-05,7592,853,16,,2021-12-01,180
2022-04-05,2943,785,30,3,2021-11-30,180
2022-04-05,5707,693,40,,2021-11-29,180
2022-04-05,2213,228,4,,2021-11-28,180
2022-04-05,1260,263,3,,2021-11-27,180
2022-04-05,3772,544,36,16,2021-11-26,180
