Report Refresh Date,Report Date,Team Chat Messages,Private Chat Messages,Calls,Meetings,Meetings Organized Count,Meetings Attended Count,Audio Duration,Video Duration,Screen Share Duration,Post Messages,Reply Messages,Report Period
2022-04-04,2022-04-04,161,79267,426,809,454,468,P261DT22H10M54S,P147DT3H50M40S,P246DT3H58M59S,41,161,180
2022-04-04,2022-04-03,21,4594,25,63,38,42,P17DT22H13M25S,P8DT15H49M16S,P16DT11H12M54S,3,21,180
2022-04-04,2022-04-02,8,2028,19,43,22,25,P15DT1H42M25S,P9DT11H12M44S,P14DT7H24M47S,4,8,180
2022-04-04,2022-04-01,191,71063,473,672,347,357,P160DT15H42M48S,P76DT10H7M25S,P147DT9H23M4S,51,191,180
2022-04-04,2022-03-31,147,78693,497,759,417,430,P244DT4H29M54S,P119DT20H40M14S,P231DT22H20M16S,67,147,180
2022-04-04,2022-03-30,182,81191,438,828,477,494,P268DT22H58M34S,P147DT7H29M46S,P252DT22H52M32S,78,182,180
2022-04-04,2022-03-29,109,78248,446,757,425,444,P204DT22H50M6S,P92DT14H50M47S,P194DT12H20M48S,29,109,180
2022-04-04,2022-03-28,102,82411,448,825,484,502,P255DT6H3M36S,P139DT15H59M32S,P233DT15H47M20S,25,102,180
2022-04-04,2022-03-27,3,3012,34,49,25,25,P15DT2H18M15S,P9DT14H55M7S,P13DT20H40M7S,0,3,180
2022-04-04,2022-03-26,2,1266,21,51,24,27,P13DT19H27M41S,P7DT12H7M16S,P13DT3H57M2S,0,2,180
2022-04-04,2022-03-25,173,76045,612,881,485,496,P249DT23H35M25S,P131DT9H41M49S,P237DT17H4M6S,26,173,180
2022-04-04,2022-03-24,184,90116,709,917,535,550,P256DT18H56M2S,P128DT16H43M41S,P246DT3H4M33S,35,184,180
2022-04-04,2022-03-23,101,87857,726,925,461,488,P265DT44M33S,P141DT6H6M17S,P250DT7H31M25S,29,101,180
2022-04-04,2022-03-22,137,85876,697,900,472,492,P240DT7H9M46S,P106DT18H14M18S,P226DT3H9M48S,22,137,180
2022-04-04,2022-03-21,112,89330,663,930,467,487,P266DT13H17M56S,P131DT13H51S,P249DT19M24S,36,112,180
2022-04-04,2022-03-20,6,2368,17,35,22,22,P10DT2H3M59S,P1DT3H37M47S,P7DT7H38M8S,2,6,180
2022-04-04,2022-03-19,9,1262,18,42,28,29,P6DT15H9M10S,P2DT5H56M37S,P6DT13H40M25S,0,9,180
2022-04-04,2022-03-18,100,76352,605,884,482,502,P227DT20H39M15S,P102DT11H22M4S,P215DT21H26M56S,21,100,180
2022-04-04,2022-03-17,175,84293,584,851,508,518,P252DT17H37M43S,P131DT23H8M45S,P241DT2H50M38S,24,175,180
2022-04-04,2022-03-16,184,82262,615,828,451,471,P241DT8H37M7S,P116DT12H5M7S,P231DT12M15S,46,184,180
2022-04-04,2022-03-15,139,91648,597,962,553,571,P283DT22H22S,P154DT23H29M2S,P270DT10H30M30S,32,139,180
2022-04-04,2022-03-14,134,91896,582,942,513,531,P270DT2H13M16S,P144DT20H29M53S,P252DT23H34M43S,27,134,180
2022-04-04,2022-03-13,10,4269,30,82,51,51,P14DT4H8M56S,P4DT16H16M55S,P14DT4H46M57S,4,10,180
2022-04-04,2022-03-12,1,3764,27,80,50,53,P18DT4H44M49S,P4DT13H37M45S,P18DT5H20M35S,1,1,180
2022-04-04,2022-03-11,138,83136,552,937,521,537,P274DT3H6M54S,P120DT3H11M47S,P255DT17H30M52S,30,138,180
