Report Refresh Date,Report Date,Team Chat Messages,Private Chat Messages,Calls,Meetings,Other Actions,Report Period
2022-04-04,2022-04-04,92,2089,539,2042,1251,180
2022-04-04,2022-04-03,5,340,36,193,1860,180
2022-04-04,2022-04-02,3,234,29,131,1423,180
2022-04-04,2022-04-01,94,1930,534,1623,1329,180
2022-04-04,2022-03-31,73,2073,573,2021,1245,180
2022-04-04,2022-03-30,71,2027,554,2105,1160,180
2022-04-04,2022-03-29,70,2004,543,1670,1372,180
2022-04-04,2022-03-28,73,2046,547,2056,1170,180
2022-04-04,2022-03-27,3,304,47,172,1631,180
2022-04-04,2022-03-26,2,230,25,107,1448,180
2022-04-04,2022-03-25,80,2042,682,1909,1172,180
2022-04-04,2022-03-24,85,2134,809,2076,1206,180
2022-04-04,2022-03-23,78,2188,829,2079,1170,180
2022-04-04,2022-03-22,66,2168,793,1909,1193,180
2022-04-04,2022-03-21,71,2078,736,2138,1214,180
2022-04-04,2022-03-20,5,276,28,104,1794,180
2022-04-04,2022-03-19,1,226,29,86,1411,180
2022-04-04,2022-03-18,60,2023,650,1956,1206,180
2022-04-04,2022-03-17,77,2098,693,2003,1201,180
2022-04-04,2022-03-16,87,2110,667,1919,1259,180
2022-04-04,2022-03-15,83,2109,676,2179,1158,180
2022-04-04,2022-03-14,82,2132,663,2242,1124,180
2022-04-04,2022-03-13,9,319,48,152,1660,180
2022-04-04,2022-03-12,1,278,34,150,1539,180
2022-04-04,2022-03-11,81,2011,654,2132,1164,180
2022-04-04,2022-03-10,80,2094,697,1961,1264,180
2022-04-04,2022-03-09,73,2083,626,2076,1226,180
2022-04-04,2022-03-08,72,2085,670,2249,1136,180
2022-04-04,2022-03-07,82,2113,618,2493,1112,180
2022-04-04,2022-03-06,11,353,29,190,1964,180
2022-04-04,2022-03-05,4,254,37,142,1356,180
2022-04-04,2022-03-04,67,1979,562,2129,1193,180
2022-04-04,2022-03-03,12,431,60,306,1831,180
2022-04-04,2022-03-02,81,2061,597,2151,1184,180
2022-04-04,2022-03-01,78,2064,677,2301,1221,180
2022-04-04,2022-02-28,7,428,63,331,1802,180
2022-04-04,2022-02-27,2,179,31,63,1639,180
2022-04-04,2022-02-26,1,245,39,132,1593,180
2022-04-04,2022-02-25,78,2000,679,2055,1343,180
2022-04-04,2022-02-24,79,2096,655,2008,1389,180
2022-04-04,2022-02-23,87,2003,618,2042,1385,180
