Report Refresh Date,Total,Active,Report Date,Report Period
2022-04-05,67,2,2022-04-05,180
2022-04-04,67,3,2022-04-04,180
2022-04-03,67,3,2022-04-03,180
2022-04-02,66,4,2022-04-02,180
2022-04-01,66,3,2022-04-01,180
2022-03-31,66,5,2022-03-31,180
2022-03-30,66,3,2022-03-30,180
2022-03-29,66,2,2022-03-29,180
2022-03-28,66,2,2022-03-28,180
2022-03-27,66,2,2022-03-27,180
2022-03-26,66,1,2022-03-26,180
2022-03-25,66,8,2022-03-25,180
2022-03-24,64,3,2022-03-24,180
2022-03-23,63,1,2022-03-23,180
2022-03-22,63,2,2022-03-22,180
2022-03-21,63,1,2022-03-21,180
2022-03-20,63,1,2022-03-20,180
2022-03-19,63,2,2022-03-19,180
2022-03-18,63,1,2022-03-18,180
2022-03-17,64,5,2022-03-17,180
2022-03-16,64,3,2022-03-16,180
2022-03-15,64,3,2022-03-15,180
2022-03-14,64,4,2022-03-14,180
2022-03-13,64,1,2022-03-13,180
2022-03-12,64,1,2022-03-12,180
2022-03-11,64,2,2022-03-11,180
2022-03-10,64,3,2022-03-10,180
2022-03-09,64,1,2022-03-09,180
2022-03-08,64,2,2022-03-08,180
2022-03-07,64,4,2022-03-07,180
2022-03-06,64,1,2022-03-06,180
2022-03-05,64,3,2022-03-05,180
2022-03-04,64,2,2022-03-04,180
2022-03-03,64,1,2022-03-03,180
2022-03-02,64,4,2022-03-02,180
2022-03-01,64,2,2022-03-01,180
2022-02-28,64,2,2022-02-28,180
2022-02-27,64,1,2022-02-27,180
2022-02-26,64,1,2022-02-26,180
2022-02-25,64,1,2022-02-25,180
2022-02-24,64,1,2022-02-24,180
2022-02-23,64,2,2022-02-23,180
2022-02-22,64,1,2022-02-22,180
2022-02-21,64,2,2022-02-21,180
2022-02-20,64,2,2022-02-20,180
2022-02-19,64,1,2022-02-19,180
2022-02-18,64,1,2022-02-18,180
2022-02-17,64,2,2022-02-17,180
2022-02-16,64,4,2022-02-16,180
2022-02-15,64,2,2022-02-15,180
2022-02-14,64,5,2022-02-14,180
2022-02-13,64,0,2022-02-13,180
2022-02-12,64,0,2022-02-12,180
2022-02-11,64,0,2022-02-11,180
2022-02-10,63,0,2022-02-10,180
2022-02-09,63,0,2022-02-09,180
2022-02-08,63,2,2022-02-08,180
2022-02-07,63,7,2022-02-07,180
2022-02-06,63,1,2022-02-06,180
2022-02-05,63,2,2022-02-05,180
2022-02-04,63,8,2022-02-04,180
2022-02-03,62,1,2022-02-03,180
2022-02-02,62,5,2022-02-02,180
2022-02-01,62,2,2022-02-01,180
2022-01-31,62,2,2022-01-31,180
2022-01-30,62,1,2022-01-30,180
2022-01-29,62,2,2022-01-29,180
2022-01-28,62,3,2022-01-28,180
2022-01-27,62,1,2022-01-27,180
2022-01-26,62,1,2022-01-26,180
2022-01-25,62,5,2022-01-25,180
2022-01-24,62,1,2022-01-24,180
2022-01-23,62,1,2022-01-23,180
2022-01-22,62,2,2022-01-22,180
2022-01-21,62,1,2022-01-21,180
2022-01-20,62,1,2022-01-20,180
2022-01-19,62,0,2022-01-19,180
2022-01-18,62,1,2022-01-18,180
2022-01-17,62,3,2022-01-17,180
2022-01-16,62,0,2022-01-16,180
2022-01-15,62,1,2022-01-15,180
2022-01-14,62,1,2022-01-14,180
2022-01-13,62,6,2022-01-13,180
2022-01-12,62,0,2022-01-12,180
2022-01-11,62,0,2022-01-11,180
2022-01-10,62,3,2022-01-10,180
2022-01-09,62,1,2022-01-09,180
2022-01-08,62,1,2022-01-08,180
2022-01-07,62,4,2022-01-07,180
2022-01-06,62,2,2022-01-06,180
2022-01-05,62,3,2022-01-05,180
2022-01-04,62,1,2022-01-04,180
2022-01-03,62,2,2022-01-03,180
2022-01-02,62,2,2022-01-02,180
2022-01-01,62,0,2022-01-01,180
2021-12-31,62,0,2021-12-31,180
2021-12-30,62,1,2021-12-30,180
2021-12-29,62,2,2021-12-29,180
2021-12-28,62,6,2021-12-28,180
2021-12-27,62,2,2021-12-27,180
2021-12-26,62,0,2021-12-26,180
2021-12-25,62,0,2021-12-25,180
2021-12-24,62,3,2021-12-24,180
2021-12-23,62,0,2021-12-23,180
2021-12-22,62,1,2021-12-22,180
2021-12-21,62,2,2021-12-21,180
2021-12-20,62,3,2021-12-20,180
2021-12-19,62,1,2021-12-19,180
2021-12-18,62,2,2021-12-18,180
2021-12-17,62,4,2021-12-17,180
2021-12-16,62,2,2021-12-16,180
2021-12-15,62,6,2021-12-15,180
2021-12-14,62,10,2021-12-14,180
2021-12-13,61,1,2021-12-13,180
2021-12-12,61,1,2021-12-12,180
2021-12-11,61,1,2021-12-11,180
2021-12-10,61,4,2021-12-10,180
2021-12-09,61,5,2021-12-09,180
2021-12-08,61,5,2021-12-08,180
2021-12-07,61,5,2021-12-07,180
2021-12-06,61,6,2021-12-06,180
2021-12-05,61,6,2021-12-05,180
2021-12-04,61,7,2021-12-04,180
2021-12-03,61,7,2021-12-03,180
2021-12-02,61,8,2021-12-02,180
2021-12-01,61,9,2021-12-01,180
2021-11-30,61,11,2021-11-30,180
2021-11-29,61,11,2021-11-29,180
2021-11-28,61,10,2021-11-28,180
2021-11-27,61,8,2021-11-27,180
2021-11-26,61,11,2021-11-26,180
2021-11-25,61,10,2021-11-25,180
2021-11-24,61,12,2021-11-24,180
2021-11-23,61,12,2021-11-23,180
2021-11-22,61,12,2021-11-22,180
2021-11-21,61,9,2021-11-21,180
2021-11-20,61,13,2021-11-20,180
2021-11-19,61,15,2021-11-19,180
2021-11-18,61,13,2021-11-18,180
2021-11-17,61,12,2021-11-17,180
2021-11-16,60,8,2021-11-16,180
2021-11-15,60,8,2021-11-15,180
2021-11-14,60,10,2021-11-14,180
2021-11-13,60,8,2021-11-13,180
2021-11-12,60,11,2021-11-12,180
2021-11-11,59,6,2021-11-11,180
2021-11-10,58,5,2021-11-10,180
2021-11-09,58,6,2021-11-09,180
2021-11-08,58,5,2021-11-08,180
2021-11-07,58,8,2021-11-07,180
2021-11-06,58,5,2021-11-06,180
2021-11-05,58,7,2021-11-05,180
2021-11-04,58,11,2021-11-04,180
2021-11-03,58,8,2021-11-03,180
2021-11-02,57,6,2021-11-02,180
2021-11-01,56,5,2021-11-01,180
2021-10-31,56,4,2021-10-31,180
2021-10-30,56,4,2021-10-30,180
2021-10-29,56,4,2021-10-29,180
2021-10-28,56,4,2021-10-28,180
2021-10-27,56,10,2021-10-27,180
2021-10-26,56,11,2021-10-26,180
2021-10-25,54,10,2021-10-25,180
2021-10-24,54,7,2021-10-24,180
2021-10-23,54,5,2021-10-23,180
2021-10-22,54,8,2021-10-22,180
2021-10-21,54,6,2021-10-21,180
2021-10-20,53,5,2021-10-20,180
2021-10-19,53,9,2021-10-19,180
2021-10-18,53,7,2021-10-18,180
2021-10-17,53,4,2021-10-17,180
2021-10-16,53,4,2021-10-16,180
2021-10-15,53,9,2021-10-15,180
2021-10-14,53,9,2021-10-14,180
2021-10-13,53,9,2021-10-13,180
2021-10-12,53,15,2021-10-12,180
2021-10-11,53,9,2021-10-11,180
2021-10-10,53,2,2021-10-10,180
2021-10-09,53,2,2021-10-09,180
2021-10-08,53,10,2021-10-08,180
