Report Refresh Date,Exchange,OneDrive,SharePoint,Skype For Business,Yammer,Teams,Report Date,Report Period
2022-04-05,3,36463,8087,,154,98456,2021-10-08,180
2022-04-05,,5370,1465,,25,7015,2021-10-09,180
2022-04-05,,20469,1805,,28,8743,2021-10-10,180
2022-04-05,3,38617,4605,,711,118916,2021-10-11,180
2022-04-05,,37917,4711,,337,112272,2021-10-12,180
2022-04-05,,20293,4532,,144,104835,2021-10-13,180
2022-04-05,3,51670,6244,,298,100304,2021-10-14,180
2022-04-05,,29988,3969,,172,94063,2021-10-15,180
2022-04-05,,10292,1104,,49,7540,2021-10-16,180
2022-04-05,,36587,2605,,67,8568,2021-10-17,180
2022-04-05,3,62734,12856,,289,102067,2021-10-18,180
2022-04-05,,14099,4038,,155,91820,2021-10-19,180
2022-04-05,3,16520,2194,,75,8266,2021-10-20,180
2022-04-05,,43747,5094,,160,103849,2021-10-21,180
2022-04-05,,29882,4635,,171,92355,2021-10-22,180
2022-04-05,,3320,1189,,92,6976,2021-10-23,180
2022-04-05,,13839,2188,,111,8815,2021-10-24,180
2022-04-05,3,26964,5602,,212,105340,2021-10-25,180
2022-04-05,,21939,5490,,181,98084,2021-10-26,180
2022-04-05,,15104,4446,,175,102406,2021-10-27,180
2022-04-05,,25243,7414,,124,104912,2021-10-28,180
2022-04-05,,28448,3491,,63,95972,2021-10-29,180
2022-04-05,3,2487,1518,,77,4454,2021-10-30,180
2022-04-05,,2929,3219,,203,5721,2021-10-31,180
2022-04-05,,38526,4278,,98,103194,2021-11-01,180
2022-04-05,6,31394,4706,,90,103518,2021-11-02,180
2022-04-05,,54557,4720,,109,100198,2021-11-03,180
2022-04-05,6,31722,5535,,200,92804,2021-11-04,180
2022-04-05,6,49802,11113,,195,90192,2021-11-05,180
2022-04-05,,17047,4217,,131,7750,2021-11-06,180
2022-04-05,,4557,3566,,143,7729,2021-11-07,180
2022-04-05,3,16315,9626,,145,101935,2021-11-08,180
2022-04-05,6,45272,11673,,114,101137,2021-11-09,180
2022-04-05,,21623,4287,,63,91039,2021-11-10,180
2022-04-05,3,50484,18066,,114,96561,2021-11-11,180
2022-04-05,,53085,8020,,312,91691,2021-11-12,180
2022-04-05,,2581,1457,,63,4343,2021-11-13,180
2022-04-05,3,15054,2784,,170,4246,2021-11-14,180
2022-04-05,3,27124,6652,,234,102899,2021-11-15,180
2022-04-05,2,31127,4123,,189,101188,2021-11-16,180
2022-04-05,,19008,4383,,313,97643,2021-11-17,180
2022-04-05,1,22342,4996,,253,92369,2021-11-18,180
2022-04-05,,17828,3215,,337,84653,2021-11-19,180
2022-04-05,1,20938,1862,,144,6993,2021-11-20,180
2022-04-05,,14426,2204,,170,7564,2021-11-21,180
2022-04-05,3,27236,4468,,283,91077,2021-11-22,180
2022-04-05,,47647,4416,,277,90869,2021-11-23,180
2022-04-05,,121156,4030,,212,83528,2021-11-24,180
2022-04-05,,60094,4078,,152,87904,2021-11-25,180
2022-04-05,,24851,4314,,125,79000,2021-11-26,180
2022-04-05,,7718,1576,,54,4919,2021-11-27,180
2022-04-05,3,10149,2435,,170,6836,2021-11-28,180
2022-04-05,9,25539,6471,,218,96162,2021-11-29,180
2022-04-05,,26364,3786,,170,90413,2021-11-30,180
2022-04-05,,16042,8510,,246,95979,2021-12-01,180
2022-04-05,,21237,21301,,227,87486,2021-12-02,180
