Report Refresh Date,Office 365,Exchange,OneDrive,SharePoint,Skype For Business,Yammer,Teams,Report Date,Report Period
2022-04-05,4269,0,1887,1218,,16,4111,2021-10-08,180
2022-04-05,2343,,489,369,,7,2242,2021-10-09,180
2022-04-05,2716,,631,572,,6,2589,2021-10-10,180
2022-04-05,4333,0,2041,1356,,69,4176,2021-10-11,180
2022-04-05,4292,,2114,1371,,55,4139,2021-10-12,180
2022-04-05,4270,,2088,1379,,31,4084,2021-10-13,180
2022-04-05,4254,0,1902,1419,,55,4033,2021-10-14,180
2022-04-05,4184,,1890,1370,,51,3985,2021-10-15,180
2022-04-05,2526,,395,740,,15,2196,2021-10-16,180
2022-04-05,2546,,530,518,,23,2391,2021-10-17,180
2022-04-05,4299,0,1889,1407,,63,4122,2021-10-18,180
2022-04-05,4311,,1863,1370,,39,4135,2021-10-19,180
2022-04-05,2659,0,602,467,,17,2536,2021-10-20,180
2022-04-05,4327,,1929,1345,,47,4184,2021-10-21,180
2022-04-05,4296,,1966,1367,,40,4101,2021-10-22,180
2022-04-05,2402,,537,520,,18,2280,2021-10-23,180
2022-04-05,2834,,647,596,,24,2679,2021-10-24,180
2022-04-05,4526,0,2027,1950,,45,4182,2021-10-25,180
2022-04-05,4670,,1992,2391,,41,4222,2021-10-26,180
2022-04-05,4486,,2023,1863,,35,4186,2021-10-27,180
2022-04-05,4506,,2039,1813,,36,4202,2021-10-28,180
2022-04-05,4417,,1963,1671,,25,4115,2021-10-29,180
2022-04-05,2673,0,471,633,,23,2425,2021-10-30,180
2022-04-05,2859,,609,719,,54,2616,2021-10-31,180
2022-04-05,4537,,1961,1748,,37,4248,2021-11-01,180
2022-04-05,4433,0,1988,1418,,28,4229,2021-11-02,180
2022-04-05,4447,,1953,1437,,37,4242,2021-11-03,180
2022-04-05,4569,0,1972,1416,,49,4374,2021-11-04,180
2022-04-05,4419,0,1932,1354,,53,4220,2021-11-05,180
2022-04-05,2382,,445,532,,31,2221,2021-11-06,180
2022-04-05,2648,,587,650,,41,2446,2021-11-07,180
2022-04-05,4506,0,2034,1460,,41,4303,2021-11-08,180
2022-04-05,4483,0,2010,1449,,38,4284,2021-11-09,180
2022-04-05,4437,,1958,1437,,27,4246,2021-11-10,180
2022-04-05,4385,0,1906,1390,,34,4178,2021-11-11,180
2022-04-05,4383,,1874,1369,,55,4152,2021-11-12,180
2022-04-05,2451,,466,458,,22,2279,2021-11-13,180
2022-04-05,2882,0,602,668,,45,2652,2021-11-14,180
2022-04-05,4571,0,2074,1619,,68,4341,2021-11-15,180
2022-04-05,4616,0,2044,1659,,60,4370,2021-11-16,180
2022-04-05,4606,,2092,1677,,86,4322,2021-11-17,180
2022-04-05,4549,0,1934,1455,,78,4280,2021-11-18,180
2022-04-05,4452,,1891,1379,,55,4207,2021-11-19,180
2022-04-05,2437,0,570,487,,33,2284,2021-11-20,180
2022-04-05,2916,,703,690,,60,2703,2021-11-21,180
2022-04-05,4572,0,1970,1572,,102,4348,2021-11-22,180
2022-04-05,4564,,1956,1483,,88,4300,2021-11-23,180
2022-04-05,4421,,1854,1406,,65,4201,2021-11-24,180
2022-04-05,4486,,1970,1480,,57,4249,2021-11-25,180
2022-04-05,4417,,1866,1346,,50,4201,2021-11-26,180
2022-04-05,2448,,562,481,,30,2278,2021-11-27,180
2022-04-05,2900,0,678,719,,66,2668,2021-11-28,180
2022-04-05,4559,0,2051,1584,,81,4264,2021-11-29,180
2022-04-05,4531,,2046,1548,,49,4258,2021-11-30,180
