Report Refresh Date,Total,Active,Report Date,Report Period
2022-04-05,858200,3122,2022-04-05,180
2022-04-05,856741,2999,2022-04-04,180
2022-04-05,855221,704,2022-04-03,180
2022-04-05,855221,624,2022-04-02,180
2022-04-05,853642,3041,2022-04-01,180
2022-04-05,853642,3248,2022-03-31,180
2022-04-05,835306,3928,2022-03-30,180
2022-04-05,835306,3670,2022-03-29,180
2022-04-05,835306,3062,2022-03-28,180
2022-04-05,833772,506,2022-03-27,180
2022-04-05,833580,794,2022-03-26,180
2022-04-05,832880,4113,2022-03-25,180
2022-04-05,829518,2891,2022-03-24,180
2022-04-05,829518,3178,2022-03-23,180
2022-04-05,828318,2978,2022-03-22,180
2022-04-05,827184,4268,2022-03-21,180
2022-04-05,825728,677,2022-03-20,180
2022-04-05,825583,473,2022-03-19,180
2022-04-05,825452,19412,2022-03-18,180
2022-04-05,807512,5489,2022-03-17,180
2022-04-05,803603,9978,2022-03-16,180
2022-04-05,802499,2881,2022-03-15,180
2022-04-05,800427,4453,2022-03-14,180
2022-04-05,798404,906,2022-03-13,180
2022-04-05,798404,332,2022-03-12,180
2022-04-05,798263,5409,2022-03-11,180
2022-04-05,791790,4388,2022-03-10,180
2022-04-05,791790,6595,2022-03-09,180
2022-04-05,787231,7323,2022-03-08,180
2022-04-05,778702,6319,2022-03-07,180
2022-04-05,778702,891,2022-03-06,180
2022-04-05,778393,883,2022-03-05,180
2022-04-05,777893,14100,2022-03-04,180
2022-04-05,766671,1245,2022-03-03,180
2022-04-05,766671,6963,2022-03-02,180
2022-04-05,763644,4613,2022-03-01,180
2022-04-05,761863,787,2022-02-28,180
2022-04-05,761244,789,2022-02-27,180
2022-04-05,761163,431,2022-02-26,180
2022-04-05,759848,13255,2022-02-25,180
2022-04-05,753003,8689,2022-02-24,180
2022-04-05,746411,4760,2022-02-23,180
2022-04-05,738584,2657,2022-02-22,180
2022-04-05,738584,8566,2022-02-21,180
2022-04-05,738584,2099,2022-02-20,180
2022-04-05,737911,556,2022-02-19,180
2022-04-05,737911,4850,2022-02-18,180
2022-04-05,734446,2890,2022-02-17,180
2022-04-05,733728,31583,2022-02-16,180
2022-04-05,704387,3873,2022-02-15,180
2022-04-05,722791,8949,2022-02-14,180
2022-04-05,722791,649,2022-02-13,180
2022-04-05,722527,5732,2022-02-12,180
2022-04-05,717735,11159,2022-02-11,180
2022-04-05,708355,17573,2022-02-10,180
2022-04-05,689649,4948,2022-02-09,180
2022-04-05,689649,5574,2022-02-08,180
2022-04-05,686313,4510,2022-02-07,180
2022-04-05,680322,4701,2022-02-06,180
2022-04-05,680322,2014,2022-02-05,180
2022-04-05,680190,10025,2022-02-04,180
2022-04-05,683720,4893,2022-02-03,180
2022-04-05,680307,7733,2022-02-02,180
2022-04-05,675160,644,2022-02-01,180
2022-04-05,674764,4021,2022-01-31,180
2022-04-05,670738,2159,2022-01-30,180
2022-04-05,670667,2423,2022-01-29,180
2022-04-05,660726,14607,2022-01-28,180
2022-04-05,660726,22446,2022-01-27,180
2022-04-05,648918,5439,2022-01-26,180
2022-04-05,644127,14405,2022-01-25,180
2022-04-05,635925,15528,2022-01-24,180
2022-04-05,635925,8135,2022-01-23,180
2022-04-05,634964,4376,2022-01-22,180
2022-04-05,631469,5046,2022-01-21,180
2022-04-05,627412,9930,2022-01-20,180
2022-04-05,625801,4045,2022-01-19,180
2022-04-05,623571,3419,2022-01-18,180
2022-04-05,623438,4085,2022-01-17,180
2022-04-05,621779,663,2022-01-16,180
2022-04-05,621779,518,2022-01-15,180
2022-04-05,621625,5358,2022-01-14,180
2022-04-05,617401,9001,2022-01-13,180
2022-04-05,611466,14812,2022-01-12,180
2022-04-05,604174,10756,2022-01-11,180
2022-04-05,602091,9605,2022-01-10,180
2022-04-05,594324,449,2022-01-09,180
2022-04-05,594324,335,2022-01-08,180
2022-04-05,582870,12327,2022-01-07,180
2022-04-05,582870,7503,2022-01-06,180
2022-04-05,579071,5372,2022-01-05,180
2022-04-05,566528,2630,2022-01-04,180
2022-04-05,565608,2286,2022-01-03,180
2022-04-05,564564,267,2022-01-02,180
2022-04-05,564518,469,2022-01-01,180
2022-04-05,561925,3124,2021-12-31,180
2022-04-05,561925,1949,2021-12-30,180
2022-04-05,561077,11440,2021-12-29,180
2022-04-05,549616,5368,2021-12-28,180
2022-04-05,546849,2571,2021-12-27,180
2022-04-05,545275,551,2021-12-26,180
2022-04-05,544992,296,2021-12-25,180
2022-04-05,546241,1833,2021-12-24,180
2022-04-05,546241,9434,2021-12-23,180
2022-04-05,537104,4859,2021-12-22,180
2022-04-05,534072,2755,2021-12-21,180
2022-04-05,532369,6604,2021-12-20,180
2022-04-05,527624,1594,2021-12-19,180
2022-04-05,527005,4796,2021-12-18,180
2022-04-05,527001,5509,2021-12-17,180
2022-04-05,526207,10985,2021-12-16,180
2022-04-05,515863,2631,2021-12-15,180
2022-04-05,515863,1967,2021-12-14,180
2022-04-05,514518,2337,2021-12-13,180
2022-04-05,516939,445,2021-12-12,180
2022-04-05,516793,389,2021-12-11,180
2022-04-05,516701,1929,2021-12-10,180
2022-04-05,515989,4645,2021-12-09,180
2022-04-05,510564,2276,2021-12-08,180
2022-04-05,510564,1768,2021-12-07,180
2022-04-05,510564,3337,2021-12-06,180
2022-04-05,508711,412,2021-12-05,180
2022-04-05,508226,599,2021-12-04,180
2022-04-05,508226,2313,2021-12-03,180
2022-04-05,507442,18721,2021-12-02,180
2022-04-05,489561,5223,2021-12-01,180
2022-04-05,485665,1429,2021-11-30,180
2022-04-05,485177,1652,2021-11-29,180
2022-04-05,484592,791,2021-11-28,180
2022-04-05,484197,462,2021-11-27,180
2022-04-05,484050,2443,2021-11-26,180
2022-04-05,482447,1558,2021-11-25,180
2022-04-05,481961,1839,2021-11-24,180
2022-04-05,481131,1562,2021-11-23,180
2022-04-05,480526,1999,2021-11-22,180
2022-04-05,479672,443,2021-11-21,180
2022-04-05,479609,297,2021-11-20,180
2022-04-05,479541,1351,2021-11-19,180
2022-04-05,479048,2433,2021-11-18,180
2022-04-05,478020,1714,2021-11-17,180
2022-04-05,477504,2077,2021-11-16,180
2022-04-05,476888,4335,2021-11-15,180
2022-04-05,475342,580,2021-11-14,180
2022-04-05,475236,384,2021-11-13,180
2022-04-05,475103,5785,2021-11-12,180
2022-04-05,472916,15792,2021-11-11,180
2022-04-05,471961,2377,2021-11-10,180
2022-04-05,470177,7872,2021-11-09,180
2022-04-05,470177,7810,2021-11-08,180
2022-04-05,469244,1215,2021-11-07,180
2022-04-05,468716,2358,2021-11-06,180
2022-04-05,468821,9285,2021-11-05,180
2022-04-05,467828,2119,2021-11-04,180
2022-04-05,466629,1915,2021-11-03,180
2022-04-05,465960,1931,2021-11-02,180
2022-04-05,464941,2431,2021-11-01,180
2022-04-05,464013,754,2021-10-31,180
2022-04-05,463769,296,2021-10-30,180
2022-04-05,463631,1551,2021-10-29,180
2022-04-05,462867,5077,2021-10-28,180
2022-04-05,462898,2190,2021-10-27,180
2022-04-05,461984,2260,2021-10-26,180
2022-04-05,460748,2997,2021-10-25,180
2022-04-05,458912,468,2021-10-24,180
2022-04-05,458912,440,2021-10-23,180
2022-04-05,458813,1534,2021-10-22,180
2022-04-05,458124,2475,2021-10-21,180
2022-04-05,456671,345,2021-10-20,180
2022-04-05,456563,2033,2021-10-19,180
2022-04-05,455806,1973,2021-10-18,180
2022-04-05,454652,461,2021-10-17,180
2022-04-05,454652,368,2021-10-16,180
2022-04-05,453744,1878,2021-10-15,180
2022-04-05,453744,3509,2021-10-14,180
2022-04-05,451651,2603,2021-10-13,180
2022-04-05,450130,1881,2021-10-12,180
2022-04-05,449412,2415,2021-10-11,180
2022-04-05,448704,688,2021-10-10,180
2022-04-05,469409,1094,2021-10-09,180
2022-04-05,469109,6756,2021-10-08,180
