Report Refresh Date,Total,Active,Report Date,Report Period
2022-04-05,416,133,2022-04-05,180
2022-04-05,416,144,2022-04-04,180
2022-04-05,416,64,2022-04-03,180
2022-04-05,416,51,2022-04-02,180
2022-04-05,416,137,2022-04-01,180
2022-04-05,416,143,2022-03-31,180
2022-04-05,416,141,2022-03-30,180
2022-04-05,416,142,2022-03-29,180
2022-04-05,416,133,2022-03-28,180
2022-04-05,416,66,2022-03-27,180
2022-04-05,416,49,2022-03-26,180
2022-04-05,416,139,2022-03-25,180
2022-04-05,416,134,2022-03-24,180
2022-04-05,416,147,2022-03-23,180
2022-04-05,416,134,2022-03-22,180
2022-04-05,416,134,2022-03-21,180
2022-04-05,416,55,2022-03-20,180
2022-04-05,416,51,2022-03-19,180
2022-04-05,416,125,2022-03-18,180
2022-04-05,416,140,2022-03-17,180
2022-04-05,416,130,2022-03-16,180
2022-04-05,416,142,2022-03-15,180
2022-04-05,416,140,2022-03-14,180
2022-04-05,416,69,2022-03-13,180
2022-04-05,416,58,2022-03-12,180
2022-04-05,416,140,2022-03-11,180
2022-04-05,416,144,2022-03-10,180
2022-04-05,416,137,2022-03-09,180
2022-04-05,416,144,2022-03-08,180
2022-04-05,416,134,2022-03-07,180
2022-04-05,416,72,2022-03-06,180
2022-04-05,416,56,2022-03-05,180
2022-04-05,416,133,2022-03-04,180
2022-04-05,416,72,2022-03-03,180
2022-04-05,416,141,2022-03-02,180
2022-04-05,416,149,2022-03-01,180
2022-04-05,416,70,2022-02-28,180
2022-04-05,416,46,2022-02-27,180
2022-04-05,416,54,2022-02-26,180
2022-04-05,416,128,2022-02-25,180
2022-04-05,416,143,2022-02-24,180
2022-04-05,417,131,2022-02-23,180
2022-04-05,417,128,2022-02-22,180
2022-04-05,417,132,2022-02-21,180
2022-04-05,417,65,2022-02-20,180
2022-04-05,417,58,2022-02-19,180
2022-04-05,417,117,2022-02-18,180
2022-04-05,417,130,2022-02-17,180
2022-04-05,417,132,2022-02-16,180
2022-04-05,417,117,2022-02-15,180
2022-04-05,417,131,2022-02-14,180
2022-04-05,417,60,2022-02-13,180
2022-04-05,417,54,2022-02-12,180
2022-04-05,417,123,2022-02-11,180
2022-04-05,417,128,2022-02-10,180
2022-04-05,417,132,2022-02-09,180
2022-04-05,417,126,2022-02-08,180
2022-04-05,417,144,2022-02-07,180
2022-04-05,417,64,2022-02-06,180
2022-04-05,417,52,2022-02-05,180
2022-04-05,417,119,2022-02-04,180
2022-04-05,417,125,2022-02-03,180
2022-04-05,417,135,2022-02-02,180
2022-04-05,417,66,2022-02-01,180
2022-04-05,417,136,2022-01-31,180
2022-04-05,417,61,2022-01-30,180
2022-04-05,417,48,2022-01-29,180
2022-04-05,417,121,2022-01-28,180
2022-04-05,417,126,2022-01-27,180
2022-04-05,417,122,2022-01-26,180
2022-04-05,417,125,2022-01-25,180
2022-04-05,417,119,2022-01-24,180
2022-04-05,417,57,2022-01-23,180
2022-04-05,417,51,2022-01-22,180
2022-04-05,417,120,2022-01-21,180
2022-04-05,417,122,2022-01-20,180
2022-04-05,417,126,2022-01-19,180
2022-04-05,417,140,2022-01-18,180
2022-04-05,417,129,2022-01-17,180
2022-04-05,417,74,2022-01-16,180
2022-04-05,417,58,2022-01-15,180
2022-04-05,417,119,2022-01-14,180
2022-04-05,418,129,2022-01-13,180
2022-04-05,418,130,2022-01-12,180
2022-04-05,418,136,2022-01-11,180
2022-04-05,418,130,2022-01-10,180
2022-04-05,418,62,2022-01-09,180
2022-04-05,418,55,2022-01-08,180
2022-04-05,418,126,2022-01-07,180
2022-04-05,418,133,2022-01-06,180
2022-04-05,418,133,2022-01-05,180
2022-04-05,418,137,2022-01-04,180
2022-04-05,418,132,2022-01-03,180
2022-04-05,418,44,2022-01-02,180
2022-04-05,418,40,2022-01-01,180
2022-04-05,418,97,2021-12-31,180
2022-04-05,418,107,2021-12-30,180
2022-04-05,418,110,2021-12-29,180
2022-04-05,418,114,2021-12-28,180
2022-04-05,418,131,2021-12-27,180
2022-04-05,418,69,2021-12-26,180
2022-04-05,418,47,2021-12-25,180
2022-04-05,418,116,2021-12-24,180
2022-04-05,418,131,2021-12-23,180
2022-04-05,418,131,2021-12-22,180
2022-04-05,418,107,2021-12-21,180
2022-04-05,418,138,2021-12-20,180
2022-04-05,418,59,2021-12-19,180
2022-04-05,416,52,2021-12-18,180
2022-04-05,415,108,2021-12-17,180
2022-04-05,415,126,2021-12-16,180
2022-04-05,414,127,2021-12-15,180
2022-04-05,414,134,2021-12-14,180
2022-04-05,414,134,2021-12-13,180
2022-04-05,414,68,2021-12-12,180
2022-04-05,414,60,2021-12-11,180
2022-04-05,414,136,2021-12-10,180
2022-04-05,414,131,2021-12-09,180
2022-04-05,414,133,2021-12-08,180
2022-04-05,414,133,2021-12-07,180
2022-04-05,414,131,2021-12-06,180
2022-04-05,414,60,2021-12-05,180
2022-04-05,414,58,2021-12-04,180
2022-04-05,414,111,2021-12-03,180
2022-04-05,414,119,2021-12-02,180
2022-04-05,414,128,2021-12-01,180
2022-04-05,414,135,2021-11-30,180
2022-04-05,414,131,2021-11-29,180
2022-04-05,414,61,2021-11-28,180
2022-04-05,414,53,2021-11-27,180
2022-04-05,414,124,2021-11-26,180
2022-04-05,414,125,2021-11-25,180
2022-04-05,414,123,2021-11-24,180
2022-04-05,414,126,2021-11-23,180
2022-04-05,414,126,2021-11-22,180
2022-04-05,414,74,2021-11-21,180
2022-04-05,414,51,2021-11-20,180
2022-04-05,414,114,2021-11-19,180
2022-04-05,414,126,2021-11-18,180
2022-04-05,413,130,2021-11-17,180
2022-04-05,413,132,2021-11-16,180
2022-04-05,413,138,2021-11-15,180
2022-04-05,413,67,2021-11-14,180
2022-04-05,413,61,2021-11-13,180
2022-04-05,413,119,2021-11-12,180
2022-04-05,413,135,2021-11-11,180
2022-04-05,413,125,2021-11-10,180
2022-04-05,413,129,2021-11-09,180
2022-04-05,413,132,2021-11-08,180
2022-04-05,413,60,2021-11-07,180
2022-04-05,413,57,2021-11-06,180
2022-04-05,413,118,2021-11-05,180
2022-04-05,413,123,2021-11-04,180
2022-04-05,413,117,2021-11-03,180
2022-04-05,413,117,2021-11-02,180
2022-04-05,413,130,2021-11-01,180
2022-04-05,413,58,2021-10-31,180
2022-04-05,413,47,2021-10-30,180
2022-04-05,413,122,2021-10-29,180
2022-04-05,412,136,2021-10-28,180
2022-04-05,412,130,2021-10-27,180
2022-04-05,412,132,2021-10-26,180
2022-04-05,412,128,2021-10-25,180
2022-04-05,412,65,2021-10-24,180
2022-04-05,412,67,2021-10-23,180
2022-04-05,412,123,2021-10-22,180
2022-04-05,412,120,2021-10-21,180
2022-04-05,412,62,2021-10-20,180
2022-04-05,412,121,2021-10-19,180
2022-04-05,412,135,2021-10-18,180
2022-04-05,412,66,2021-10-17,180
2022-04-05,412,63,2021-10-16,180
2022-04-05,412,125,2021-10-15,180
2022-04-05,411,129,2021-10-14,180
2022-04-05,411,138,2021-10-13,180
2022-04-05,411,120,2021-10-12,180
2022-04-05,411,150,2021-10-11,180
2022-04-05,410,72,2021-10-10,180
2022-04-05,410,60,2021-10-09,180
2022-04-05,410,127,2021-10-08,180
