Report Refresh Date,Mailbox Storage Used (Byte),Site Storage Used (Byte),Report Date,Report Period
2022-04-05,839840130,7146641660645,2022-04-05,30
2022-04-05,837796419,7109274294897,2022-04-04,30
2022-04-05,827445820,7073240689813,2022-04-03,30
2022-04-05,802130802,7073240689813,2022-04-02,30
2022-04-05,797401402,7048294294403,2022-04-01,30
2022-04-05,758952765,7048294294403,2022-03-31,30
2022-04-05,824255915,6918100510514,2022-03-30,30
2022-04-05,828196843,6918100510514,2022-03-29,30
2022-04-05,826960332,6918100510514,2022-03-28,30
2022-04-05,826301332,6888371497885,2022-03-27,30
2022-04-05,825612615,6928729097866,2022-03-26,30
2022-04-05,820294342,6930432426561,2022-03-25,30
2022-04-05,685753373,6892162462733,2022-03-24,30
2022-04-05,737683496,6892162462733,2022-03-23,30
2022-04-05,809259861,6877153902653,2022-03-22,30
2022-04-05,817976530,6850438084606,2022-03-21,30
2022-04-05,820962688,6770328613017,2022-03-20,30
2022-04-05,808699574,6762123433491,2022-03-19,30
2022-04-05,807813612,6756606807778,2022-03-18,30
2022-04-05,807904394,6690049703013,2022-03-17,30
2022-04-05,814352331,6685378796213,2022-03-16,30
2022-04-05,816855058,6671706163599,2022-03-15,30
2022-04-05,817662996,6574635203852,2022-03-14,30
2022-04-05,812351475,6551198301238,2022-03-13,30
2022-04-05,813997142,6551198301238,2022-03-12,30
2022-04-05,784571191,6550527873567,2022-03-11,30
2022-04-05,786283636,6513160280237,2022-03-10,30
2022-04-05,813587426,6513160280237,2022-03-09,30
2022-04-05,807672557,6475521958346,2022-03-08,30
2022-04-05,809821782,6382697169003,2022-03-07,30
