Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-04-05,All,10614931,65809,2022-04-05,30
2022-04-05,All,10574345,48843,2022-04-04,30
2022-04-05,All,10570758,20343,2022-04-03,30
2022-04-05,All,10570758,23158,2022-04-02,30
2022-04-05,All,10499087,80937,2022-04-01,30
2022-04-05,All,10532797,32399,2022-03-31,30
2022-04-05,All,10465523,46225,2022-03-30,30
2022-04-05,All,10465523,33668,2022-03-29,30
2022-04-05,All,10465523,57807,2022-03-28,30
2022-04-05,All,10447780,30334,2022-03-27,30
2022-04-05,All,10446123,46385,2022-03-26,30
2022-04-05,All,10622747,29046,2022-03-25,30
2022-04-05,All,10582212,56629,2022-03-24,30
2022-04-05,All,10582212,37405,2022-03-23,30
2022-04-05,All,10556666,53399,2022-03-22,30
2022-04-05,All,10532818,79899,2022-03-21,30
2022-04-05,All,10511008,11753,2022-03-20,30
2022-04-05,All,10502109,15212,2022-03-19,30
2022-04-05,All,10497509,32729,2022-03-18,30
2022-04-05,All,10489740,63837,2022-03-17,30
2022-04-05,All,10447109,51221,2022-03-16,30
2022-04-05,All,10417933,54680,2022-03-15,30
2022-04-05,All,10392019,62148,2022-03-14,30
2022-04-05,All,10338541,24893,2022-03-13,30
2022-04-05,All,10338541,6925,2022-03-12,30
2022-04-05,All,10339655,66156,2022-03-11,30
2022-04-05,All,10304865,27002,2022-03-10,30
2022-04-05,All,10304865,26804,2022-03-09,30
2022-04-05,All,10285625,88864,2022-03-08,30
2022-04-05,All,10215875,32874,2022-03-07,30
