Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-04-05,OneDrive,110261380917232,2022-04-05,30
2022-04-05,All,110261380917232,2022-04-05,30
2022-04-05,OneDrive,110007176424491,2022-04-04,30
2022-04-05,All,110007176424491,2022-04-04,30
2022-04-05,OneDrive,109821968556131,2022-04-03,30
2022-04-05,All,109821968556131,2022-04-03,30
2022-04-05,OneDrive,109821968556131,2022-04-02,30
2022-04-05,All,109821968556131,2022-04-02,30
2022-04-05,OneDrive,109419277229311,2022-04-01,30
2022-04-05,All,109419277229311,2022-04-01,30
2022-04-05,OneDrive,109750690579252,2022-03-31,30
2022-04-05,All,109750690579252,2022-03-31,30
2022-04-05,OneDrive,108291968950463,2022-03-30,30
2022-04-05,All,108291968950463,2022-03-30,30
2022-04-05,OneDrive,108291968950463,2022-03-29,30
2022-04-05,All,108291968950463,2022-03-29,30
2022-04-05,OneDrive,108291968950463,2022-03-28,30
2022-04-05,All,108291968950463,2022-03-28,30
2022-04-05,OneDrive,107923583461752,2022-03-27,30
2022-04-05,All,107923583461752,2022-03-27,30
2022-04-05,OneDrive,107752789706304,2022-03-26,30
2022-04-05,All,107752789706304,2022-03-26,30
2022-04-05,OneDrive,107807433894246,2022-03-25,30
2022-04-05,All,107807433894246,2022-03-25,30
2022-04-05,OneDrive,107450720033087,2022-03-24,30
2022-04-05,All,107450720033087,2022-03-24,30
2022-04-05,OneDrive,107450720033087,2022-03-23,30
2022-04-05,All,107450720033087,2022-03-23,30
2022-04-05,OneDrive,107328342763638,2022-03-22,30
2022-04-05,All,107328342763638,2022-03-22,30
2022-04-05,OneDrive,106947413674895,2022-03-21,30
2022-04-05,All,106947413674895,2022-03-21,30
2022-04-05,OneDrive,106630971611357,2022-03-20,30
2022-04-05,All,106630971611357,2022-03-20,30
2022-04-05,OneDrive,106535162121223,2022-03-19,30
2022-04-05,All,106535162121223,2022-03-19,30
2022-04-05,OneDrive,106443171662625,2022-03-18,30
2022-04-05,All,106443171662625,2022-03-18,30
2022-04-05,OneDrive,106073127675112,2022-03-17,30
2022-04-05,All,106073127675112,2022-03-17,30
2022-04-05,OneDrive,105743945025656,2022-03-16,30
2022-04-05,All,105743945025656,2022-03-16,30
2022-04-05,OneDrive,105643966664676,2022-03-15,30
2022-04-05,All,105643966664676,2022-03-15,30
2022-04-05,OneDrive,105362896598621,2022-03-14,30
2022-04-05,All,105362896598621,2022-03-14,30
2022-04-05,OneDrive,104929759442696,2022-03-13,30
2022-04-05,All,104929759442696,2022-03-13,30
2022-04-05,OneDrive,104929759442696,2022-03-12,30
2022-04-05,All,104929759442696,2022-03-12,30
2022-04-05,OneDrive,104865829341760,2022-03-11,30
2022-04-05,All,104865829341760,2022-03-11,30
2022-04-05,OneDrive,104091536160030,2022-03-10,30
2022-04-05,All,104091536160030,2022-03-10,30
2022-04-05,OneDrive,104091536160030,2022-03-09,30
2022-04-05,All,104091536160030,2022-03-09,30
2022-04-05,OneDrive,103826988065878,2022-03-08,30
2022-04-05,All,103826988065878,2022-03-08,30
2022-04-05,OneDrive,103108563924703,2022-03-07,30
2022-04-05,All,103108563924703,2022-03-07,30
