Report Refresh Date,Report Period,Report Date,Windows,Mac,Mobile,Web
2022-04-04,180,2022-04-04,3870,76,2465,1192
2022-04-04,180,2022-04-03,1782,51,1411,290
2022-04-04,180,2022-04-02,1173,46,1208,215
2022-04-04,180,2022-04-01,3677,74,2424,907
2022-04-04,180,2022-03-31,3710,78,2514,944
2022-04-04,180,2022-03-30,3725,84,2450,979
2022-04-04,180,2022-03-29,3687,77,2382,952
2022-04-04,180,2022-03-28,3705,74,2517,1030
2022-04-04,180,2022-03-27,1604,45,1346,252
2022-04-04,180,2022-03-26,1234,38,1122,179
2022-04-04,180,2022-03-25,3519,71,2539,886
2022-04-04,180,2022-03-24,3741,76,2598,979
2022-04-04,180,2022-03-23,3792,84,2581,964
2022-04-04,180,2022-03-22,3780,78,2561,913
2022-04-04,180,2022-03-21,3790,76,2615,876
2022-04-04,180,2022-03-20,1627,47,1248,194
2022-04-04,180,2022-03-19,1138,47,1116,176
2022-04-04,180,2022-03-18,3565,80,2512,859
2022-04-04,180,2022-03-17,3834,83,2537,919
2022-04-04,180,2022-03-16,3762,78,2553,882
2022-04-04,180,2022-03-15,3876,79,2641,951
2022-04-04,180,2022-03-14,3894,86,2622,979
2022-04-04,180,2022-03-13,1651,55,1286,222
2022-04-04,180,2022-03-12,1363,52,1177,184
2022-04-04,180,2022-03-11,3637,81,2506,887
2022-04-04,180,2022-03-10,3784,78,2529,883
2022-04-04,180,2022-03-09,3780,78,2572,879
2022-04-04,180,2022-03-08,3784,81,2574,922
2022-04-04,180,2022-03-07,3879,90,2615,983
2022-04-04,180,2022-03-06,1769,53,1514,228
2022-04-04,180,2022-03-05,1228,51,1086,170
2022-04-04,180,2022-03-04,3698,85,2498,956
2022-04-04,180,2022-03-03,1953,61,1456,305
2022-04-04,180,2022-03-02,3668,83,2516,946
2022-04-04,180,2022-03-01,3880,83,2726,1010
2022-04-04,180,2022-02-28,1901,52,1518,286
2022-04-04,180,2022-02-27,1279,47,1136,145
2022-04-04,180,2022-02-26,1409,48,1148,164
2022-04-04,180,2022-02-25,3841,84,2568,886
2022-04-04,180,2022-02-24,3901,95,2510,931
2022-04-04,180,2022-02-23,3910,81,2537,898
2022-04-04,180,2022-02-22,3870,78,2465,854
2022-04-04,180,2022-02-21,3915,86,2517,935
2022-04-04,180,2022-02-20,1888,52,1317,238
2022-04-04,180,2022-02-19,1604,49,1187,186
2022-04-04,180,2022-02-18,3803,74,2468,823
2022-04-04,180,2022-02-17,3892,81,2720,887
2022-04-04,180,2022-02-16,3907,81,2478,832
2022-04-04,180,2022-02-15,3850,80,2500,771
