Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-04-05,All,1385390,6239,2022-04-05,180
2022-04-05,All,1382059,8938,2022-04-04,180
2022-04-05,All,1376141,1335,2022-04-03,180
2022-04-05,All,1376141,1488,2022-04-02,180
2022-04-05,All,1372827,5469,2022-04-01,180
2022-04-05,All,1372827,5787,2022-03-31,180
2022-04-05,All,1342522,13005,2022-03-30,180
2022-04-05,All,1342522,5511,2022-03-29,180
2022-04-05,All,1342522,5760,2022-03-28,180
2022-04-05,All,1339606,844,2022-03-27,180
2022-04-05,All,1339407,1335,2022-03-26,180
2022-04-05,All,1338690,7694,2022-03-25,180
2022-04-05,All,1331254,6357,2022-03-24,180
2022-04-05,All,1331254,9170,2022-03-23,180
2022-04-05,All,1325899,11956,2022-03-22,180
2022-04-05,All,1316850,24082,2022-03-21,180
2022-04-05,All,1296475,989,2022-03-20,180
2022-04-05,All,1296246,1201,2022-03-19,180
2022-04-05,All,1295738,21314,2022-03-18,180
2022-04-05,All,1276752,7547,2022-03-17,180
2022-04-05,All,1271884,22586,2022-03-16,180
2022-04-05,All,1265980,4665,2022-03-15,180
2022-04-05,All,1260992,12009,2022-03-14,180
2022-04-05,All,1253379,2303,2022-03-13,180
2022-04-05,All,1253379,1608,2022-03-12,180
2022-04-05,All,1252545,7285,2022-03-11,180
2022-04-05,All,1243585,7310,2022-03-10,180
2022-04-05,All,1243585,8944,2022-03-09,180
2022-04-05,All,1238070,10085,2022-03-08,180
2022-04-05,All,1226363,9405,2022-03-07,180
2022-04-05,All,1226363,3229,2022-03-06,180
2022-04-05,All,1226822,2378,2022-03-05,180
2022-04-05,All,1225328,17447,2022-03-04,180
2022-04-05,All,1211791,1633,2022-03-03,180
2022-04-05,All,1211791,9200,2022-03-02,180
2022-04-05,All,1207394,10106,2022-03-01,180
2022-04-05,All,1201120,1258,2022-02-28,180
2022-04-05,All,1200384,1056,2022-02-27,180
2022-04-05,All,1200266,1667,2022-02-26,180
2022-04-05,All,1197476,15505,2022-02-25,180
2022-04-05,All,1189848,26118,2022-02-24,180
2022-04-05,All,1166538,6433,2022-02-23,180
2022-04-05,All,1156376,4198,2022-02-22,180
2022-04-05,All,1156376,10014,2022-02-21,180
2022-04-05,All,1156376,2474,2022-02-20,180
2022-04-05,All,1154813,1788,2022-02-19,180
2022-04-05,All,1154813,7506,2022-02-18,180
2022-04-05,All,1149631,5074,2022-02-17,180
2022-04-05,All,1147720,32913,2022-02-16,180
2022-04-05,All,1117622,9841,2022-02-15,180
2022-04-05,All,1131963,10582,2022-02-14,180
2022-04-05,All,1131963,1024,2022-02-13,180
2022-04-05,All,1131672,6547,2022-02-12,180
2022-04-05,All,1126288,12892,2022-02-11,180
2022-04-05,All,1115757,18539,2022-02-10,180
2022-04-05,All,1095149,6460,2022-02-09,180
2022-04-05,All,1095149,6993,2022-02-08,180
2022-04-05,All,1091361,6803,2022-02-07,180
2022-04-05,All,1063106,26122,2022-02-06,180
2022-04-05,All,1063106,2239,2022-02-05,180
2022-04-05,All,1062957,13906,2022-02-04,180
2022-04-05,All,1065797,6580,2022-02-03,180
2022-04-05,All,1061499,10400,2022-02-02,180
2022-04-05,All,1054823,983,2022-02-01,180
2022-04-05,All,1053908,5017,2022-01-31,180
2022-04-05,All,1036858,2630,2022-01-30,180
2022-04-05,All,1036765,2668,2022-01-29,180
2022-04-05,All,1025413,16809,2022-01-28,180
2022-04-05,All,1025413,28906,2022-01-27,180
2022-04-05,All,1009958,6893,2022-01-26,180
2022-04-05,All,1004587,15743,2022-01-25,180
2022-04-05,All,993701,20816,2022-01-24,180
2022-04-05,All,993701,8438,2022-01-23,180
2022-04-05,All,992725,4648,2022-01-22,180
2022-04-05,All,989135,6301,2022-01-21,180
2022-04-05,All,984317,16118,2022-01-20,180
2022-04-05,All,977149,7870,2022-01-19,180
2022-04-05,All,973603,9728,2022-01-18,180
2022-04-05,All,966747,7290,2022-01-17,180
2022-04-05,All,964002,1072,2022-01-16,180
2022-04-05,All,964002,1008,2022-01-15,180
2022-04-05,All,963692,6956,2022-01-14,180
2022-04-05,All,958376,11070,2022-01-13,180
2022-04-05,All,951442,16369,2022-01-12,180
2022-04-05,All,943280,11617,2022-01-11,180
2022-04-05,All,940851,10647,2022-01-10,180
2022-04-05,All,932676,658,2022-01-09,180
2022-04-05,All,932676,526,2022-01-08,180
2022-04-05,All,920713,13416,2022-01-07,180
2022-04-05,All,920713,8596,2022-01-06,180
2022-04-05,All,916373,7538,2022-01-05,180
2022-04-05,All,902177,3361,2022-01-04,180
2022-04-05,All,901066,3213,2022-01-03,180
2022-04-05,All,900686,448,2022-01-02,180
2022-04-05,All,900621,600,2022-01-01,180
2022-04-05,All,896981,4497,2021-12-31,180
2022-04-05,All,896981,2795,2021-12-30,180
2022-04-05,All,895602,21705,2021-12-29,180
2022-04-05,All,874216,6861,2021-12-28,180
2022-04-05,All,871027,10763,2021-12-27,180
2022-04-05,All,861723,717,2021-12-26,180
2022-04-05,All,861423,417,2021-12-25,180
2022-04-05,All,862464,2451,2021-12-24,180
2022-04-05,All,862464,17544,2021-12-23,180
2022-04-05,All,849259,5650,2021-12-22,180
2022-04-05,All,845914,5306,2021-12-21,180
2022-04-05,All,843830,8385,2021-12-20,180
2022-04-05,All,838053,1757,2021-12-19,180
2022-04-05,All,837397,4916,2021-12-18,180
2022-04-05,All,837397,6390,2021-12-17,180
2022-04-05,All,836534,12143,2021-12-16,180
2022-04-05,All,825273,3758,2021-12-15,180
2022-04-05,All,825273,4797,2021-12-14,180
2022-04-05,All,822096,4621,2021-12-13,180
2022-04-05,All,824017,1039,2021-12-12,180
