Report Refresh Date,Site Type,Page View Count,Report Date,Report Period
2022-04-05,All,5154,2022-04-05,180
2022-04-05,All,5752,2022-04-04,180
2022-04-05,All,1332,2022-04-03,180
2022-04-05,All,1700,2022-04-02,180
2022-04-05,All,3638,2022-04-01,180
2022-04-05,All,3850,2022-03-31,180
2022-04-05,All,3755,2022-03-30,180
2022-04-05,All,3580,2022-03-29,180
2022-04-05,All,4118,2022-03-28,180
2022-04-05,All,827,2022-03-27,180
2022-04-05,All,1284,2022-03-26,180
2022-04-05,All,2748,2022-03-25,180
2022-04-05,All,3632,2022-03-24,180
2022-04-05,All,2934,2022-03-23,180
2022-04-05,All,3019,2022-03-22,180
2022-04-05,All,2840,2022-03-21,180
2022-04-05,All,539,2022-03-20,180
2022-04-05,All,1314,2022-03-19,180
2022-04-05,All,2776,2022-03-18,180
2022-04-05,All,2894,2022-03-17,180
2022-04-05,All,2872,2022-03-16,180
2022-04-05,All,3116,2022-03-15,180
2022-04-05,All,3729,2022-03-14,180
2022-04-05,All,737,2022-03-13,180
2022-04-05,All,1556,2022-03-12,180
2022-04-05,All,3260,2022-03-11,180
2022-04-05,All,4074,2022-03-10,180
2022-04-05,All,3634,2022-03-09,180
2022-04-05,All,4332,2022-03-08,180
2022-04-05,All,3701,2022-03-07,180
2022-04-05,All,834,2022-03-06,180
2022-04-05,All,1626,2022-03-05,180
2022-04-05,All,4095,2022-03-04,180
2022-04-05,All,1608,2022-03-03,180
2022-04-05,All,3698,2022-03-02,180
2022-04-05,All,4087,2022-03-01,180
2022-04-05,All,1133,2022-02-28,180
2022-04-05,All,615,2022-02-27,180
2022-04-05,All,1689,2022-02-26,180
2022-04-05,All,2924,2022-02-25,180
2022-04-05,All,3780,2022-02-24,180
2022-04-05,All,4128,2022-02-23,180
2022-04-05,All,3840,2022-02-22,180
2022-04-05,All,3826,2022-02-21,180
2022-04-05,All,1237,2022-02-20,180
2022-04-05,All,2243,2022-02-19,180
2022-04-05,All,3989,2022-02-18,180
2022-04-05,All,3625,2022-02-17,180
2022-04-05,All,3530,2022-02-16,180
2022-04-05,All,3380,2022-02-15,180
2022-04-05,All,3228,2022-02-14,180
2022-04-05,All,1255,2022-02-13,180
2022-04-05,All,645,2022-02-12,180
2022-04-05,All,2319,2022-02-11,180
2022-04-05,All,2009,2022-02-10,180
2022-04-05,All,3214,2022-02-09,180
2022-04-05,All,3223,2022-02-08,180
2022-04-05,All,2958,2022-02-07,180
2022-04-05,All,1484,2022-02-06,180
2022-04-05,All,407,2022-02-05,180
2022-04-05,All,3030,2022-02-04,180
2022-04-05,All,2319,2022-02-03,180
2022-04-05,All,2725,2022-02-02,180
2022-04-05,All,605,2022-02-01,180
2022-04-05,All,2345,2022-01-31,180
2022-04-05,All,458,2022-01-30,180
2022-04-05,All,340,2022-01-29,180
2022-04-05,All,2031,2022-01-28,180
2022-04-05,All,2236,2022-01-27,180
2022-04-05,All,1857,2022-01-26,180
2022-04-05,All,1889,2022-01-25,180
2022-04-05,All,1807,2022-01-24,180
2022-04-05,All,549,2022-01-23,180
2022-04-05,All,463,2022-01-22,180
2022-04-05,All,1507,2022-01-21,180
2022-04-05,All,1801,2022-01-20,180
2022-04-05,All,1628,2022-01-19,180
2022-04-05,All,2141,2022-01-18,180
2022-04-05,All,2773,2022-01-17,180
2022-04-05,All,452,2022-01-16,180
2022-04-05,All,531,2022-01-15,180
2022-04-05,All,1629,2022-01-14,180
2022-04-05,All,1881,2022-01-13,180
2022-04-05,All,1660,2022-01-12,180
2022-04-05,All,1755,2022-01-11,180
2022-04-05,All,2098,2022-01-10,180
2022-04-05,All,540,2022-01-09,180
2022-04-05,All,306,2022-01-08,180
2022-04-05,All,1237,2022-01-07,180
2022-04-05,All,1307,2022-01-06,180
2022-04-05,All,1077,2022-01-05,180
2022-04-05,All,1329,2022-01-04,180
2022-04-05,All,1079,2022-01-03,180
2022-04-05,All,292,2022-01-02,180
2022-04-05,All,133,2022-01-01,180
2022-04-05,All,700,2021-12-31,180
2022-04-05,All,714,2021-12-30,180
2022-04-05,All,953,2021-12-29,180
2022-04-05,All,1493,2021-12-28,180
