Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-04-05,All,925,233,2022-04-05,180
2022-04-05,All,923,248,2022-04-04,180
2022-04-05,All,919,110,2022-04-03,180
2022-04-05,All,919,82,2022-04-02,180
2022-04-05,All,918,226,2022-04-01,180
2022-04-05,All,918,231,2022-03-31,180
2022-04-05,All,913,236,2022-03-30,180
2022-04-05,All,913,224,2022-03-29,180
2022-04-05,All,913,225,2022-03-28,180
2022-04-05,All,913,99,2022-03-27,180
2022-04-05,All,913,76,2022-03-26,180
2022-04-05,All,912,220,2022-03-25,180
2022-04-05,All,904,226,2022-03-24,180
2022-04-05,All,904,232,2022-03-23,180
2022-04-05,All,904,232,2022-03-22,180
2022-04-05,All,902,220,2022-03-21,180
2022-04-05,All,902,83,2022-03-20,180
2022-04-05,All,902,76,2022-03-19,180
2022-04-05,All,902,213,2022-03-18,180
2022-04-05,All,901,214,2022-03-17,180
2022-04-05,All,897,211,2022-03-16,180
2022-04-05,All,897,226,2022-03-15,180
2022-04-05,All,897,235,2022-03-14,180
2022-04-05,All,895,109,2022-03-13,180
2022-04-05,All,895,91,2022-03-12,180
2022-04-05,All,893,219,2022-03-11,180
2022-04-05,All,891,219,2022-03-10,180
2022-04-05,All,891,216,2022-03-09,180
2022-04-05,All,890,234,2022-03-08,180
2022-04-05,All,889,225,2022-03-07,180
2022-04-05,All,889,113,2022-03-06,180
2022-04-05,All,889,78,2022-03-05,180
2022-04-05,All,889,211,2022-03-04,180
2022-04-05,All,889,115,2022-03-03,180
2022-04-05,All,889,221,2022-03-02,180
2022-04-05,All,887,239,2022-03-01,180
2022-04-05,All,884,117,2022-02-28,180
2022-04-05,All,882,68,2022-02-27,180
2022-04-05,All,884,83,2022-02-26,180
2022-04-05,All,882,206,2022-02-25,180
2022-04-05,All,880,230,2022-02-24,180
2022-04-05,All,877,208,2022-02-23,180
2022-04-05,All,874,192,2022-02-22,180
2022-04-05,All,875,204,2022-02-21,180
2022-04-05,All,875,91,2022-02-20,180
2022-04-05,All,875,84,2022-02-19,180
2022-04-05,All,875,193,2022-02-18,180
2022-04-05,All,875,212,2022-02-17,180
2022-04-05,All,874,213,2022-02-16,180
2022-04-05,All,870,189,2022-02-15,180
2022-04-05,All,868,200,2022-02-14,180
2022-04-05,All,868,82,2022-02-13,180
2022-04-05,All,868,73,2022-02-12,180
2022-04-05,All,868,193,2022-02-11,180
2022-04-05,All,868,197,2022-02-10,180
2022-04-05,All,864,195,2022-02-09,180
2022-04-05,All,864,194,2022-02-08,180
2022-04-05,All,866,221,2022-02-07,180
2022-04-05,All,865,90,2022-02-06,180
2022-04-05,All,865,69,2022-02-05,180
2022-04-05,All,865,184,2022-02-04,180
2022-04-05,All,864,193,2022-02-03,180
2022-04-05,All,864,200,2022-02-02,180
2022-04-05,All,864,97,2022-02-01,180
2022-04-05,All,864,209,2022-01-31,180
2022-04-05,All,864,88,2022-01-30,180
2022-04-05,All,864,75,2022-01-29,180
2022-04-05,All,864,189,2022-01-28,180
2022-04-05,All,864,204,2022-01-27,180
2022-04-05,All,862,181,2022-01-26,180
2022-04-05,All,862,196,2022-01-25,180
2022-04-05,All,860,193,2022-01-24,180
2022-04-05,All,860,85,2022-01-23,180
2022-04-05,All,860,81,2022-01-22,180
2022-04-05,All,860,186,2022-01-21,180
2022-04-05,All,860,202,2022-01-20,180
2022-04-05,All,859,201,2022-01-19,180
2022-04-05,All,860,219,2022-01-18,180
2022-04-05,All,858,205,2022-01-17,180
2022-04-05,All,858,100,2022-01-16,180
2022-04-05,All,858,80,2022-01-15,180
2022-04-05,All,858,187,2022-01-14,180
2022-04-05,All,858,198,2022-01-13,180
2022-04-05,All,854,198,2022-01-12,180
2022-04-05,All,854,223,2022-01-11,180
2022-04-05,All,852,207,2022-01-10,180
2022-04-05,All,847,97,2022-01-09,180
2022-04-05,All,848,81,2022-01-08,180
2022-04-05,All,848,196,2022-01-07,180
2022-04-05,All,848,204,2022-01-06,180
2022-04-05,All,848,193,2022-01-05,180
2022-04-05,All,848,206,2022-01-04,180
2022-04-05,All,848,188,2022-01-03,180
2022-04-05,All,849,71,2022-01-02,180
2022-04-05,All,849,62,2022-01-01,180
2022-04-05,All,849,156,2021-12-31,180
2022-04-05,All,849,161,2021-12-30,180
2022-04-05,All,849,166,2021-12-29,180
2022-04-05,All,849,176,2021-12-28,180
2022-04-05,All,849,201,2021-12-27,180
2022-04-05,All,848,95,2021-12-26,180
2022-04-05,All,848,64,2021-12-25,180
2022-04-05,All,848,164,2021-12-24,180
2022-04-05,All,848,187,2021-12-23,180
2022-04-05,All,848,187,2021-12-22,180
2022-04-05,All,847,167,2021-12-21,180
2022-04-05,All,847,186,2021-12-20,180
2022-04-05,All,847,79,2021-12-19,180
2022-04-05,All,845,71,2021-12-18,180
2022-04-05,All,845,147,2021-12-17,180
2022-04-05,All,844,191,2021-12-16,180
2022-04-05,All,842,192,2021-12-15,180
2022-04-05,All,842,205,2021-12-14,180
2022-04-05,All,842,209,2021-12-13,180
2022-04-05,All,841,97,2021-12-12,180
2022-04-05,All,841,93,2021-12-11,180
2022-04-05,All,839,204,2021-12-10,180
2022-04-05,All,838,199,2021-12-09,180
2022-04-05,All,838,195,2021-12-08,180
2022-04-05,All,838,205,2021-12-07,180
2022-04-05,All,838,201,2021-12-06,180
2022-04-05,All,838,100,2021-12-05,180
2022-04-05,All,838,90,2021-12-04,180
2022-04-05,All,838,171,2021-12-03,180
2022-04-05,All,838,183,2021-12-02,180
2022-04-05,All,838,186,2021-12-01,180
2022-04-05,All,838,198,2021-11-30,180
2022-04-05,All,837,193,2021-11-29,180
2022-04-05,All,836,94,2021-11-28,180
2022-04-05,All,836,75,2021-11-27,180
2022-04-05,All,836,177,2021-11-26,180
2022-04-05,All,836,188,2021-11-25,180
2022-04-05,All,836,175,2021-11-24,180
2022-04-05,All,836,184,2021-11-23,180
2022-04-05,All,836,189,2021-11-22,180
2022-04-05,All,836,114,2021-11-21,180
2022-04-05,All,836,79,2021-11-20,180
2022-04-05,All,836,178,2021-11-19,180
2022-04-05,All,836,191,2021-11-18,180
2022-04-05,All,836,195,2021-11-17,180
2022-04-05,All,836,195,2021-11-16,180
2022-04-05,All,836,205,2021-11-15,180
2022-04-05,All,833,104,2021-11-14,180
2022-04-05,All,833,85,2021-11-13,180
2022-04-05,All,833,178,2021-11-12,180
2022-04-05,All,833,199,2021-11-11,180
2022-04-05,All,833,183,2021-11-10,180
2022-04-05,All,833,211,2021-11-09,180
2022-04-05,All,833,199,2021-11-08,180
2022-04-05,All,833,91,2021-11-07,180
2022-04-05,All,833,83,2021-11-06,180
2022-04-05,All,833,191,2021-11-05,180
2022-04-05,All,833,196,2021-11-04,180
2022-04-05,All,832,186,2021-11-03,180
2022-04-05,All,832,184,2021-11-02,180
2022-04-05,All,832,197,2021-11-01,180
2022-04-05,All,832,89,2021-10-31,180
2022-04-05,All,832,78,2021-10-30,180
2022-04-05,All,832,188,2021-10-29,180
2022-04-05,All,832,215,2021-10-28,180
2022-04-05,All,831,198,2021-10-27,180
2022-04-05,All,828,197,2021-10-26,180
2022-04-05,All,828,188,2021-10-25,180
2022-04-05,All,827,95,2021-10-24,180
2022-04-05,All,827,97,2021-10-23,180
2022-04-05,All,827,185,2021-10-22,180
2022-04-05,All,827,191,2021-10-21,180
2022-04-05,All,825,93,2021-10-20,180
2022-04-05,All,825,187,2021-10-19,180
2022-04-05,All,825,207,2021-10-18,180
2022-04-05,All,825,101,2021-10-17,180
2022-04-05,All,825,89,2021-10-16,180
2022-04-05,All,824,187,2021-10-15,180
2022-04-05,All,822,189,2021-10-14,180
2022-04-05,All,822,205,2021-10-13,180
2022-04-05,All,821,191,2021-10-12,180
2022-04-05,All,820,219,2021-10-11,180
2022-04-05,All,821,105,2021-10-10,180
2022-04-05,All,821,87,2021-10-09,180
2022-04-05,All,819,194,2021-10-08,180
