Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-04-05,All,16976792333530,2022-04-05,180
2022-04-05,All,16902712854775,2022-04-04,180
2022-04-05,All,16828963619952,2022-04-03,180
2022-04-05,All,16828963619952,2022-04-02,180
2022-04-05,All,16751408309316,2022-04-01,180
2022-04-05,All,16751408309316,2022-03-31,180
2022-04-05,All,16511573550685,2022-03-30,180
2022-04-05,All,16511573550685,2022-03-29,180
2022-04-05,All,16511573550685,2022-03-28,180
2022-04-05,All,16464850619699,2022-03-27,180
2022-04-05,All,16505643930327,2022-03-26,180
2022-04-05,All,16490296643590,2022-03-25,180
2022-04-05,All,16397875479393,2022-03-24,180
2022-04-05,All,16397875479393,2022-03-23,180
2022-04-05,All,16340054345733,2022-03-22,180
2022-04-05,All,16261124673348,2022-03-21,180
2022-04-05,All,16146660957963,2022-03-20,180
2022-04-05,All,16131266676880,2022-03-19,180
2022-04-05,All,16120138028992,2022-03-18,180
2022-04-05,All,16038069128144,2022-03-17,180
2022-04-05,All,16013945549343,2022-03-16,180
2022-04-05,All,15949344397495,2022-03-15,180
2022-04-05,All,15825236467088,2022-03-14,180
2022-04-05,All,15762831733619,2022-03-13,180
2022-04-05,All,15762831733619,2022-03-12,180
2022-04-05,All,15759499689180,2022-03-11,180
2022-04-05,All,15638632474493,2022-03-10,180
2022-04-05,All,15638632474493,2022-03-09,180
2022-04-05,All,15569673968356,2022-03-08,180
2022-04-05,All,15419627129082,2022-03-07,180
2022-04-05,All,15419627129082,2022-03-06,180
2022-04-05,All,15402518721600,2022-03-05,180
2022-04-05,All,15349854069025,2022-03-04,180
2022-04-05,All,15267769053003,2022-03-03,180
2022-04-05,All,15267769053003,2022-03-02,180
2022-04-05,All,15213452846070,2022-03-01,180
2022-04-05,All,15147262785458,2022-02-28,180
2022-04-05,All,15122253799684,2022-02-27,180
2022-04-05,All,15127155701225,2022-02-26,180
2022-04-05,All,15120401211512,2022-02-25,180
2022-04-05,All,15043135195189,2022-02-24,180
2022-04-05,All,14856475462826,2022-02-23,180
2022-04-05,All,14649810336084,2022-02-22,180
2022-04-05,All,14649811049228,2022-02-21,180
2022-04-05,All,14649811049228,2022-02-20,180
2022-04-05,All,14617306214510,2022-02-19,180
2022-04-05,All,14617306214510,2022-02-18,180
2022-04-05,All,14561429837957,2022-02-17,180
2022-04-05,All,14509306834173,2022-02-16,180
2022-04-05,All,14526173754258,2022-02-15,180
2022-04-05,All,14395296372070,2022-02-14,180
2022-04-05,All,14395296372070,2022-02-13,180
2022-04-05,All,14510597716338,2022-02-12,180
2022-04-05,All,14547243144972,2022-02-11,180
2022-04-05,All,14458565641449,2022-02-10,180
2022-04-05,All,14420657097496,2022-02-09,180
2022-04-05,All,14420657097496,2022-02-08,180
2022-04-05,All,14341244412837,2022-02-07,180
2022-04-05,All,14195521938782,2022-02-06,180
2022-04-05,All,14195521938782,2022-02-05,180
2022-04-05,All,14156113618330,2022-02-04,180
2022-04-05,All,14149489523106,2022-02-03,180
2022-04-05,All,14033290999663,2022-02-02,180
2022-04-05,All,13980699545519,2022-02-01,180
2022-04-05,All,13949839177588,2022-01-31,180
2022-04-05,All,13875073607986,2022-01-30,180
2022-04-05,All,13931669248694,2022-01-29,180
2022-04-05,All,14095896101499,2022-01-28,180
2022-04-05,All,14095896101499,2022-01-27,180
2022-04-05,All,14051591418631,2022-01-26,180
2022-04-05,All,14006532159073,2022-01-25,180
2022-04-05,All,13977194794798,2022-01-24,180
2022-04-05,All,13977194794798,2022-01-23,180
2022-04-05,All,13970975240598,2022-01-22,180
2022-04-05,All,14027450508152,2022-01-21,180
2022-04-05,All,14089683831324,2022-01-20,180
2022-04-05,All,14029329094231,2022-01-19,180
2022-04-05,All,13951129940230,2022-01-18,180
2022-04-05,All,13792519565790,2022-01-17,180
2022-04-05,All,13759884933012,2022-01-16,180
2022-04-05,All,13759884933012,2022-01-15,180
2022-04-05,All,13768044916682,2022-01-14,180
2022-04-05,All,13720990804307,2022-01-13,180
2022-04-05,All,13664291146148,2022-01-12,180
2022-04-05,All,13580325576295,2022-01-11,180
2022-04-05,All,13608963973139,2022-01-10,180
2022-04-05,All,14042505120721,2022-01-09,180
2022-04-05,All,14042505835099,2022-01-08,180
2022-04-05,All,13946551911159,2022-01-07,180
2022-04-05,All,13946551911159,2022-01-06,180
2022-04-05,All,13894893803176,2022-01-05,180
2022-04-05,All,13785203269008,2022-01-04,180
2022-04-05,All,13750935838518,2022-01-03,180
2022-04-05,All,13719005477477,2022-01-02,180
2022-04-05,All,13719866782041,2022-01-01,180
2022-04-05,All,13722797664347,2021-12-31,180
2022-04-05,All,13722797664347,2021-12-30,180
2022-04-05,All,13764824186634,2021-12-29,180
2022-04-05,All,13731628503872,2021-12-28,180
2022-04-05,All,13695798970511,2021-12-27,180
2022-04-05,All,13640647761500,2021-12-26,180
2022-04-05,All,13669205916041,2021-12-25,180
2022-04-05,All,13641353587173,2021-12-24,180
2022-04-05,All,13641353587173,2021-12-23,180
2022-04-05,All,13568267988190,2021-12-22,180
2022-04-05,All,13524713262423,2021-12-21,180
2022-04-05,All,13504219538340,2021-12-20,180
2022-04-05,All,13458056529170,2021-12-19,180
2022-04-05,All,13441192137048,2021-12-18,180
2022-04-05,All,13441192137048,2021-12-17,180
2022-04-05,All,13449939266740,2021-12-16,180
2022-04-05,All,13392527662569,2021-12-15,180
2022-04-05,All,13392527662569,2021-12-14,180
2022-04-05,All,13363584817602,2021-12-13,180
2022-04-05,All,13336520737713,2021-12-12,180
2022-04-05,All,13330096804229,2021-12-11,180
2022-04-05,All,13370606937072,2021-12-10,180
2022-04-05,All,13343012198213,2021-12-09,180
2022-04-05,All,13233724519060,2021-12-08,180
2022-04-05,All,13233724519060,2021-12-07,180
2022-04-05,All,13233724519060,2021-12-06,180
2022-04-05,All,13198053967617,2021-12-05,180
2022-04-05,All,13163719644605,2021-12-04,180
2022-04-05,All,13163719644605,2021-12-03,180
2022-04-05,All,13080274248435,2021-12-02,180
2022-04-05,All,12954523930084,2021-12-01,180
2022-04-05,All,12850804422111,2021-11-30,180
2022-04-05,All,12764102016881,2021-11-29,180
2022-04-05,All,12649038184619,2021-11-28,180
2022-04-05,All,12613820953858,2021-11-27,180
2022-04-05,All,12584273092648,2021-11-26,180
2022-04-05,All,12570317262458,2021-11-25,180
2022-04-05,All,12420254466114,2021-11-24,180
2022-04-05,All,12310657631063,2021-11-23,180
2022-04-05,All,12187861749868,2021-11-22,180
2022-04-05,All,12087612664501,2021-11-21,180
2022-04-05,All,12053319159756,2021-11-20,180
2022-04-05,All,12020425796551,2021-11-19,180
2022-04-05,All,12040495730136,2021-11-18,180
2022-04-05,All,11808341213200,2021-11-17,180
2022-04-05,All,11673481382736,2021-11-16,180
2022-04-05,All,11559557289536,2021-11-15,180
2022-04-05,All,11431016673753,2021-11-14,180
2022-04-05,All,11387519289894,2021-11-13,180
2022-04-05,All,11359791966459,2021-11-12,180
2022-04-05,All,11277866014506,2021-11-11,180
2022-04-05,All,11089558077307,2021-11-10,180
2022-04-05,All,10885667131324,2021-11-09,180
2022-04-05,All,10885667131324,2021-11-08,180
2022-04-05,All,10840513294571,2021-11-07,180
2022-04-05,All,10780523637819,2021-11-06,180
2022-04-05,All,10711417944639,2021-11-05,180
2022-04-05,All,10670833524090,2021-11-04,180
2022-04-05,All,10611318084640,2021-11-03,180
2022-04-05,All,10568828767490,2021-11-02,180
2022-04-05,All,10495273985329,2021-11-01,180
2022-04-05,All,10456496978195,2021-10-31,180
2022-04-05,All,10444444766972,2021-10-30,180
2022-04-05,All,10400025620414,2021-10-29,180
2022-04-05,All,10355772556559,2021-10-28,180
2022-04-05,All,10321756013135,2021-10-27,180
2022-04-05,All,10296968182401,2021-10-26,180
2022-04-05,All,10189437296238,2021-10-25,180
2022-04-05,All,10136858879020,2021-10-24,180
2022-04-05,All,10136858879020,2021-10-23,180
2022-04-05,All,10129944965648,2021-10-22,180
2022-04-05,All,10032557559828,2021-10-21,180
2022-04-05,All,9946032315563,2021-10-20,180
2022-04-05,All,9806915249164,2021-10-19,180
2022-04-05,All,9715553318157,2021-10-18,180
2022-04-05,All,9645191355100,2021-10-17,180
2022-04-05,All,9645191355100,2021-10-16,180
2022-04-05,All,9609747463322,2021-10-15,180
2022-04-05,All,9609694225320,2021-10-14,180
2022-04-05,All,9538456408121,2021-10-13,180
2022-04-05,All,9523181121015,2021-10-12,180
2022-04-05,All,9454634607651,2021-10-11,180
2022-04-05,All,9408885198743,2021-10-10,180
2022-04-05,All,9404968574755,2021-10-09,180
2022-04-05,All,9394444460497,2021-10-08,180
