Id, AppName, ActiveUsers, AppType, ActiveTeams, Publisher, Version
29ae87cf-6545-4e79-8093-925d91e4150e,"Bulletins",1,"Microsoft",1,"Microsoft Corporation","1.0.1"
com.microsoft.teamspace.tab.file.staticviewer.word,"Word",4,"Microsoft",2,"Microsoft Corporation","0.1"
4082650b-ff26-4eae-b0af-ac0bed45228d,"EQ Everywhere",1,"3P",1,"Humantelligence","1.0.0"
8a1da635-5729-4456-b43a-56cbd795c3cf,"Zoom",15,"3P",8,"Zoom Video Communications, Inc","1.6.0728"
f02fddc9-159a-4d58-9800-d94c4f64bfe8,"Calendar BOT",11,"3P",10,"Approved Contact","3.1.0"
3ed5b337-c2c9-4d5d-b7b4-84ff09a8fc1c,"FileBrowser",1468,"Microsoft",172,"Microsoft Corporation","1.0.0"
1517b59d-6d65-4316-a708-035adc659394,"Slido",1,"3P",1,"Slido","2.6.1"
c859de61-8a6b-42e6-ba88-f639df33bc72,"Go1",1,"3P",1,"Go1","1.3.0"
28db939f-b39d-4c81-8899-622f917cb1c6,"Inspection",1,"Microsoft",1,"Microsoft Corporation","1.0.2"
ef56c0de-36fc-4ef8-b417-3d82ba9d073c,"Calendar",105,"Microsoft",57,"Microsoft Corporation","1.0"
a9c31598-b014-4e20-b3bd-3d275fa738d3,"365Projects",1,"3P",1,"365Apps","1.0.0"
c3a1996d-db0f-4857-a6ea-7aabf0266b00,"Power Automate",6,"Microsoft",6,"Microsoft Corporation","1.0.3"
1850b8bb-76ac-411c-9637-08f7d1812d35,"Power Virtual Agents",1,"Microsoft",1,"Microsoft Corporation","1.2.1"
86fcd49b-61a2-4701-b771-54728cd291fb,"Chat",4104,"Microsoft",292,"Microsoft Corporation","1.0"
0ae35b36-0fd7-422e-805b-d53af1579093,"SharePoint Pages",1074,"Microsoft",33,"Microsoft Corporation","1.2"
5a0e35f9-d3c8-45b6-9dd9-983ab47f1b83,"Help",5,"Microsoft",3,"Microsoft Corporation","1.0"
8bd0dbd9-defe-4a4a-aa75-0c3b5396cad2,"Group Calendar - NextSet",8,"3P",5,"NextSet,Inc.","1.0.5"
f4153cf9-e556-4c0c-bbb3-347c24bb792a,"Piazza",1,"3P",1,"Piazza","1.1.0"
2e3a628d-6f54-4100-9e7a-f00bc3621a85,"Viva Learning",8,"Microsoft",5,"Microsoft Corporation","2.0.1"
1f510555-b518-4084-84e0-18c7bebc807c,"Presentations AI",1,"3P",1,"Infographfx technologies","2.2.8"
com.microsoft.teamspace.tab.file.staticviewer.excel,"Excel",122,"Microsoft",25,"Microsoft Corporation","0.1"
7c316234-ded0-4f95-8a83-8453d0876592,"Approvals",5,"Microsoft",5,"Microsoft Corporation","1.0.1"
4d0f0848-3fdd-4046-9976-d5568c8b71f4,"MeisterTask",1,"3P",1,"MeisterLabs GmbH","1.0.0"
527d9969-88e1-4343-8892-02a18e3a93b4,"Virto Calendar",3,"3P",3,"Virtosoftware","1.0.0"
81fef3a6-72aa-4648-a763-de824aeafb7d,"Forms",63,"Microsoft",18,"Microsoft Corporation","1.1.0"
c12a3d54-d294-4a51-8cd3-4a48b6c7e6f2,"MindMup",1,"3P",1,"Sauf Pompiers Ltd","1.0.2"
com.microsoft.teamspace.tab.files.sharepoint,"Document Library",39,"Microsoft",12,"Microsoft Corporation","0.1"
35c4c1c0-368c-47c4-99e0-c0a1e846d8c9,"Project",1,"Microsoft",1,"Microsoft Corporation","1.0.2"
a6b63365-31a4-4f43-92ec-710b71557af9,"Power Apps",40,"Microsoft",16,"Microsoft Corporation","1.0.0"
com.microsoft.teamspace.tab.planner,"Tasks by Planner and To Do",165,"Microsoft",46,"Microsoft Corporation","1.2.7"
2b8b9b59-d595-46b3-ba0a-602024bab0cc,"Event Management",1,"3P",1,"SharePoint|Sapiens","1.6.0"
