Report Refresh Date,Report Period,Report Date,Designers,Respondents,Total Users
2022-09-10,180,2022-09-10,1,17,17
2022-09-10,180,2022-09-09,37,143,169
2022-09-10,180,2022-09-08,33,117,142
2022-09-10,180,2022-09-07,36,146,171
2022-09-10,180,2022-09-06,30,205,225
2022-09-10,180,2022-09-05,29,175,198
2022-09-10,180,2022-09-04,11,32,41
2022-09-10,180,2022-09-03,7,31,35
2022-09-10,180,2022-09-02,41,277,302
2022-09-10,180,2022-09-01,40,160,189
2022-09-10,180,2022-08-31,38,152,180
2022-09-10,180,2022-08-30,40,196,231
2022-09-10,180,2022-08-29,42,197,225
2022-09-10,180,2022-08-28,7,46,52
2022-09-10,180,2022-08-27,10,69,75
2022-09-10,180,2022-08-26,24,201,218
2022-09-10,180,2022-08-25,31,228,251
2022-09-10,180,2022-08-24,29,139,159
2022-09-10,180,2022-08-23,32,78,106
2022-09-10,180,2022-08-22,35,125,148
2022-09-10,180,2022-08-21,6,77,79
2022-09-10,180,2022-08-20,4,15,18
2022-09-10,180,2022-08-19,28,73,99
2022-09-10,180,2022-08-18,32,76,105
2022-09-10,180,2022-08-17,8,49,54
2022-09-10,180,2022-08-16,34,94,120
2022-09-10,180,2022-08-15,38,224,251
2022-09-10,180,2022-08-14,9,21,28
2022-09-10,180,2022-08-13,5,29,33
2022-09-10,180,2022-08-12,26,127,149
2022-09-10,180,2022-08-11,33,111,138
2022-09-10,180,2022-08-10,36,229,258
2022-09-10,180,2022-08-09,35,131,156
2022-09-10,180,2022-08-08,38,229,256
2022-09-10,180,2022-08-07,6,28,31
2022-09-10,180,2022-08-06,3,20,23
2022-09-10,180,2022-08-05,34,146,161
2022-09-10,180,2022-08-04,38,188,217
2022-09-10,180,2022-08-03,33,220,245
2022-09-10,180,2022-08-02,29,159,184
2022-09-10,180,2022-08-01,25,233,254
2022-09-10,180,2022-07-31,9,51,54
2022-09-10,180,2022-07-30,4,24,27
2022-09-10,180,2022-07-29,26,133,153
2022-09-10,180,2022-07-28,33,263,283
2022-09-10,180,2022-07-27,52,675,694
2022-09-10,180,2022-07-26,30,260,277
2022-09-10,180,2022-07-25,37,302,322
2022-09-10,180,2022-07-24,7,51,56
2022-09-10,180,2022-07-23,9,115,121
2022-09-10,180,2022-07-22,33,163,186
2022-09-10,180,2022-07-21,30,234,255
2022-09-10,180,2022-07-20,32,159,182
2022-09-10,180,2022-07-19,29,337,355
2022-09-10,180,2022-07-18,46,318,346
2022-09-10,180,2022-07-17,7,31,36
2022-09-10,180,2022-07-16,5,13,18
2022-09-10,180,2022-07-15,30,91,115
2022-09-10,180,2022-07-14,27,109,129
2022-09-10,180,2022-07-13,30,141,163
2022-09-10,180,2022-07-12,35,146,174
2022-09-10,180,2022-07-11,35,223,243
2022-09-10,180,2022-07-10,2,22,24
2022-09-10,180,2022-07-09,4,13,16
2022-09-10,180,2022-07-08,27,99,121
2022-09-10,180,2022-07-07,36,123,153
2022-09-10,180,2022-07-06,31,188,210
2022-09-10,180,2022-07-05,34,267,294
2022-09-10,180,2022-07-04,38,182,211
2022-09-10,180,2022-07-03,5,27,32
2022-09-10,180,2022-07-02,8,13,18
2022-09-10,180,2022-07-01,28,63,87
2022-09-10,180,2022-06-30,24,253,271
2022-09-10,180,2022-06-29,34,385,404
2022-09-10,180,2022-06-28,30,331,351
2022-09-10,180,2022-06-27,30,388,410
2022-09-10,180,2022-06-26,7,153,160
2022-09-10,180,2022-06-25,8,201,207
2022-09-10,180,2022-06-24,26,274,293
2022-09-10,180,2022-06-23,30,108,130
2022-09-10,180,2022-06-22,33,150,176
2022-09-10,180,2022-06-21,35,277,299
2022-09-10,180,2022-06-20,49,376,411
2022-09-10,180,2022-06-19,10,39,46
2022-09-10,180,2022-06-18,5,39,41
2022-09-10,180,2022-06-17,33,151,178
2022-09-10,180,2022-06-16,22,178,196
2022-09-10,180,2022-06-15,22,168,183
2022-09-10,180,2022-06-14,38,264,294
2022-09-10,180,2022-06-13,35,168,194
2022-09-10,180,2022-06-12,4,49,52
2022-09-10,180,2022-06-11,7,24,31
