Report Refresh Date,Exchange,OneDrive,SharePoint,Skype For Business,Yammer,Teams,Report Date,Report Period
2022-09-10,4,54680,4665,,13,91975,2022-03-15,180
2022-09-10,8,51221,22586,,19,82405,2022-03-16,180
2022-09-10,2,63837,7547,,34,84545,2022-03-17,180
2022-09-10,4,32729,21314,,9,76614,2022-03-18,180
2022-09-10,4,15212,1201,,36,1323,2022-03-19,180
2022-09-10,2,11753,989,,4,2388,2022-03-20,180
2022-09-10,2,79899,24082,,8,89179,2022-03-21,180
2022-09-10,10,53399,11956,,12,85857,2022-03-22,180
2022-09-10,26,37405,9170,,8,88101,2022-03-23,180
2022-09-10,4,56629,6357,,15,90150,2022-03-24,180
2022-09-10,8,29046,7694,,78,76433,2022-03-25,180
2022-09-10,2,46385,1335,,22,1332,2022-03-26,180
2022-09-10,,30334,844,,9,3034,2022-03-27,180
2022-09-10,3,57807,5760,,18,82379,2022-03-28,180
2022-09-10,2,33668,5511,,9,78160,2022-03-29,180
2022-09-10,6,46225,13005,,26,81574,2022-03-30,180
2022-09-10,13,32399,5787,,113,78954,2022-03-31,180
2022-09-10,4,80937,5469,,48,71417,2022-04-01,180
2022-09-10,,23158,1488,,51,2088,2022-04-02,180
2022-09-10,7,20343,1335,,49,4652,2022-04-03,180
2022-09-10,17,48843,8938,,85,79700,2022-04-04,180
2022-09-10,4,65809,6239,,123,81354,2022-04-05,180
2022-09-10,6,42940,20148,,91,82543,2022-04-06,180
2022-09-10,6,33110,8297,,66,75506,2022-04-07,180
2022-09-10,10,33325,7308,,50,74207,2022-04-08,180
2022-09-10,,3474,1817,,65,4762,2022-04-09,180
2022-09-10,2,9208,2399,,78,6775,2022-04-10,180
2022-09-10,9,48808,5854,,72,89603,2022-04-11,180
2022-09-10,6,63418,5231,,69,82284,2022-04-12,180
2022-09-10,11,40015,14690,,80,74297,2022-04-13,180
2022-09-10,7,66810,6050,,109,77366,2022-04-14,180
2022-09-10,2,9809,2892,,46,4386,2022-04-15,180
2022-09-10,6,5297,2291,,48,3005,2022-04-16,180
2022-09-10,3,14976,2117,,63,6739,2022-04-17,180
2022-09-10,8,60385,7359,,161,81331,2022-04-18,180
2022-09-10,5,118457,16642,,148,76315,2022-04-19,180
2022-09-10,10,58598,7291,,59,73144,2022-04-20,180
2022-09-10,9,109217,7617,,54,73516,2022-04-21,180
2022-09-10,9,47226,4967,,31,70471,2022-04-22,180
2022-09-10,4,6878,5358,,32,4162,2022-04-23,180
2022-09-10,3,5873,1710,,30,4669,2022-04-24,180
2022-09-10,4,27818,8809,,55,78687,2022-04-25,180
2022-09-10,,31970,5437,,35,70436,2022-04-26,180
2022-09-10,4,51215,13725,,17,68168,2022-04-27,180
2022-09-10,2,30334,5229,,14,57011,2022-04-28,180
2022-09-10,4,1934,8093,,16,792,2022-04-29,180
2022-09-10,4,7845,1322,,7,338,2022-04-30,180
2022-09-10,5,2973,771,,5,433,2022-05-01,180
2022-09-10,2,517,526,,,124,2022-05-02,180
2022-09-10,2,665,628,,4,46,2022-05-03,180
2022-09-10,9,1985,635,,,227,2022-05-04,180
2022-09-10,2,555,726,,32,323,2022-05-05,180
2022-09-10,4,2091,967,,6,383,2022-05-06,180
2022-09-10,2,1389,1229,,2,715,2022-05-07,180
2022-09-10,2,11242,1477,,33,1878,2022-05-08,180
2022-09-10,3,60385,5425,,36,56850,2022-05-09,180
2022-09-10,10,92343,8890,,39,67165,2022-05-10,180
2022-09-10,5,68324,4479,,44,72527,2022-05-11,180
2022-09-10,11,127843,10614,,50,75487,2022-05-12,180
2022-09-10,2,77407,4654,,38,74038,2022-05-13,180
2022-09-10,,7132,984,,46,4596,2022-05-14,180
2022-09-10,,12562,1525,,184,2403,2022-05-15,180
2022-09-10,4,17983,2161,,57,7701,2022-05-16,180
2022-09-10,8,39670,23353,,93,78078,2022-05-17,180
2022-09-10,2,33025,26412,,87,77633,2022-05-18,180
2022-09-10,2,27359,9805,,218,73194,2022-05-19,180
2022-09-10,7,54087,14328,,91,67517,2022-05-20,180
2022-09-10,4,7839,1471,,19,5792,2022-05-21,180
2022-09-10,3,9038,3252,,70,8656,2022-05-22,180
2022-09-10,5,40144,6376,,72,89610,2022-05-23,180
2022-09-10,4,54552,23148,,65,85542,2022-05-24,180
2022-09-10,3,29689,6574,,56,81524,2022-05-25,180
2022-09-10,3,38051,2175,,13,5491,2022-05-26,180
2022-09-10,4,21211,4274,,97,77097,2022-05-27,180
2022-09-10,,5929,1660,,45,4117,2022-05-28,180
2022-09-10,3,21534,2030,,54,3538,2022-05-29,180
2022-09-10,5,52875,8199,,101,89558,2022-05-30,180
2022-09-10,3,61900,9529,,87,83462,2022-05-31,180
2022-09-10,,9845,2613,,29,5414,2022-06-01,180
2022-09-10,16,51762,15532,,236,83132,2022-06-02,180
2022-09-10,2,77693,15527,,138,79571,2022-06-03,180
2022-09-10,4,9086,1657,,19,3182,2022-06-04,180
2022-09-10,51,13588,3002,,17,5021,2022-06-05,180
2022-09-10,21,84059,17857,,37,92366,2022-06-06,180
