Report Refresh Date,Office 365,Exchange,OneDrive,SharePoint,Skype For Business,Yammer,Teams,Report Date,Report Period
2022-09-10,4259,0,2081,1316,,10,3987,2022-03-15,180
2022-09-10,4195,0,2039,1212,,10,3898,2022-03-16,180
2022-09-10,4262,0,2050,1233,,12,3936,2022-03-17,180
2022-09-10,4109,0,1938,1133,,8,3763,2022-03-18,180
2022-09-10,1931,0,395,333,,21,1656,2022-03-19,180
2022-09-10,2307,0,547,348,,4,2110,2022-03-20,180
2022-09-10,4208,0,2052,1301,,5,3896,2022-03-21,180
2022-09-10,4205,0,2080,1281,,9,3871,2022-03-22,180
2022-09-10,4249,0,2186,1264,,7,3939,2022-03-23,180
2022-09-10,4318,0,2158,1437,,7,3958,2022-03-24,180
2022-09-10,4044,0,2026,1207,,12,3699,2022-03-25,180
2022-09-10,1976,0,484,399,,12,1705,2022-03-26,180
2022-09-10,2200,,602,419,,4,2006,2022-03-27,180
2022-09-10,4151,0,2043,1378,,5,3817,2022-03-28,180
2022-09-10,4097,0,2067,1294,,6,3753,2022-03-29,180
2022-09-10,4146,0,2166,1359,,6,3823,2022-03-30,180
2022-09-10,4213,0,2114,1385,,25,3884,2022-03-31,180
2022-09-10,4087,0,2101,1259,,18,3695,2022-04-01,180
2022-09-10,1999,,455,399,,28,1722,2022-04-02,180
2022-09-10,2507,0,723,489,,12,2271,2022-04-03,180
2022-09-10,4280,0,2231,1672,,17,3893,2022-04-04,180
2022-09-10,4230,0,2194,1580,,21,3841,2022-04-05,180
2022-09-10,4354,0,2152,1923,,15,4044,2022-04-06,180
2022-09-10,4308,0,2184,1632,,17,3948,2022-04-07,180
2022-09-10,4189,0,2128,1567,,23,3796,2022-04-08,180
2022-09-10,2371,,575,557,,32,2055,2022-04-09,180
2022-09-10,2609,0,787,640,,21,2384,2022-04-10,180
2022-09-10,4296,0,2205,1710,,17,3948,2022-04-11,180
2022-09-10,4240,0,2130,1744,,23,3818,2022-04-12,180
2022-09-10,4357,0,2196,1665,,24,4003,2022-04-13,180
2022-09-10,4264,0,2212,1645,,23,3880,2022-04-14,180
2022-09-10,2325,0,569,790,,21,1973,2022-04-15,180
2022-09-10,2220,0,518,639,,21,1879,2022-04-16,180
2022-09-10,2592,0,720,766,,17,2271,2022-04-17,180
2022-09-10,4285,0,2146,1675,,39,3936,2022-04-18,180
2022-09-10,4211,0,2298,1597,,36,3840,2022-04-19,180
2022-09-10,4262,0,2102,1754,,23,3880,2022-04-20,180
2022-09-10,4207,0,2175,1548,,19,3862,2022-04-21,180
2022-09-10,4114,0,2047,1434,,12,3734,2022-04-22,180
