Report Refresh Date,Viewed Or Edited,Synced,Shared Internally,Shared Externally,Report Date,Report Period
2022-09-10,5665,41861,146,2,2022-09-10,180
2022-09-10,25958,43256,3230,54,2022-09-09,180
2022-09-10,19310,10484,3803,66,2022-09-08,180
2022-09-10,28359,15498,4286,33,2022-09-07,180
2022-09-10,21182,13900,4370,110,2022-09-06,180
2022-09-10,30441,27793,4375,91,2022-09-05,180
2022-09-10,5515,3320,288,3,2022-09-04,180
2022-09-10,4892,34014,183,1,2022-09-03,180
2022-09-10,12972,18274,3234,50,2022-09-02,180
2022-09-10,41614,28715,3757,58,2022-09-01,180
2022-09-10,38854,43625,3940,115,2022-08-31,180
2022-09-10,27005,13010,3886,69,2022-08-30,180
2022-09-10,25673,51882,3953,42,2022-08-29,180
2022-09-10,14367,3369,310,6,2022-08-28,180
2022-09-10,11993,10347,222,3,2022-08-27,180
2022-09-10,14772,18951,3322,44,2022-08-26,180
2022-09-10,27130,14678,3575,38,2022-08-25,180
2022-09-10,22438,31930,3687,50,2022-08-24,180
2022-09-10,33021,12279,3596,73,2022-08-23,180
2022-09-10,40303,16646,4274,63,2022-08-22,180
2022-09-10,25082,1419,354,,2022-08-21,180
2022-09-10,26086,4416,337,4,2022-08-20,180
2022-09-10,23045,18790,3023,61,2022-08-19,180
2022-09-10,15450,40629,3219,65,2022-08-18,180
2022-09-10,7953,13916,476,7,2022-08-17,180
2022-09-10,32363,18507,3929,29,2022-08-16,180
2022-09-10,17156,21415,4453,86,2022-08-15,180
2022-09-10,10767,11478,346,1,2022-08-14,180
2022-09-10,24068,1325,284,4,2022-08-13,180
2022-09-10,24090,25117,3411,60,2022-08-12,180
2022-09-10,17083,37346,3560,47,2022-08-11,180
2022-09-10,37152,48410,3890,47,2022-08-10,180
2022-09-10,14662,50143,3621,47,2022-08-09,180
2022-09-10,19061,52819,4269,62,2022-08-08,180
2022-09-10,15763,5428,344,2,2022-08-07,180
2022-09-10,6247,3045,247,2,2022-08-06,180
2022-09-10,15734,25467,3899,37,2022-08-05,180
2022-09-10,18770,24186,3678,105,2022-08-04,180
2022-09-10,22862,13482,3949,105,2022-08-03,180
2022-09-10,20142,18528,3783,102,2022-08-02,180
2022-09-10,46178,29947,3823,129,2022-08-01,180
2022-09-10,1963,2474,212,9,2022-07-31,180
2022-09-10,1005,3136,185,3,2022-07-30,180
2022-09-10,13729,19016,3118,78,2022-07-29,180
2022-09-10,19281,24137,3630,90,2022-07-28,180
2022-09-10,24637,93726,3959,95,2022-07-27,180
2022-09-10,35968,50373,3770,85,2022-07-26,180
2022-09-10,37853,11512,3862,106,2022-07-25,180
2022-09-10,35258,15046,233,4,2022-07-24,180
2022-09-10,1472,2041,344,1,2022-07-23,180
