Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-09-10,All,5987,407,2022-09-10,180
2022-09-10,All,5987,1730,2022-09-09,180
2022-09-10,All,5981,1826,2022-09-08,180
2022-09-10,All,5981,1896,2022-09-07,180
2022-09-10,All,5981,1948,2022-09-06,180
2022-09-10,All,5980,1935,2022-09-05,180
2022-09-10,All,5980,592,2022-09-04,180
2022-09-10,All,5980,437,2022-09-03,180
2022-09-10,All,5980,1768,2022-09-02,180
2022-09-10,All,5979,1850,2022-09-01,180
2022-09-10,All,5994,1857,2022-08-31,180
2022-09-10,All,5992,1903,2022-08-30,180
2022-09-10,All,5992,1880,2022-08-29,180
2022-09-10,All,5992,560,2022-08-28,180
2022-09-10,All,5992,484,2022-08-27,180
2022-09-10,All,5991,1762,2022-08-26,180
2022-09-10,All,5988,1839,2022-08-25,180
2022-09-10,All,5987,1779,2022-08-24,180
2022-09-10,All,5986,1810,2022-08-23,180
2022-09-10,All,5984,1854,2022-08-22,180
2022-09-10,All,5984,584,2022-08-21,180
2022-09-10,All,5983,510,2022-08-20,180
2022-09-10,All,5983,1652,2022-08-19,180
2022-09-10,All,5979,1784,2022-08-18,180
2022-09-10,All,5976,611,2022-08-17,180
2022-09-10,All,5976,1838,2022-08-16,180
2022-09-10,All,5975,1900,2022-08-15,180
2022-09-10,All,5973,584,2022-08-14,180
2022-09-10,All,5971,432,2022-08-13,180
2022-09-10,All,5971,1721,2022-08-12,180
2022-09-10,All,5970,1794,2022-08-11,180
2022-09-10,All,5964,1822,2022-08-10,180
2022-09-10,All,5947,1821,2022-08-09,180
2022-09-10,All,5946,1870,2022-08-08,180
2022-09-10,All,5943,557,2022-08-07,180
2022-09-10,All,5943,396,2022-08-06,180
2022-09-10,All,5942,1752,2022-08-05,180
2022-09-10,All,5911,1810,2022-08-04,180
2022-09-10,All,5910,1785,2022-08-03,180
2022-09-10,All,5827,1742,2022-08-02,180
2022-09-10,All,5826,1742,2022-08-01,180
2022-09-10,All,5868,487,2022-07-31,180
2022-09-10,All,5868,356,2022-07-30,180
2022-09-10,All,5868,1605,2022-07-29,180
2022-09-10,All,5866,1712,2022-07-28,180
2022-09-10,All,5870,1747,2022-07-27,180
2022-09-10,All,5870,1770,2022-07-26,180
2022-09-10,All,5869,1786,2022-07-25,180
2022-09-10,All,5867,519,2022-07-24,180
2022-09-10,All,5867,412,2022-07-23,180
2022-09-10,All,5867,1591,2022-07-22,180
2022-09-10,All,5866,1635,2022-07-21,180
2022-09-10,All,5864,1750,2022-07-20,180
