Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-09-10,All,14157103,47453,2022-09-10,180
2022-09-10,All,14131156,68741,2022-09-09,180
2022-09-10,All,14076186,29943,2022-09-08,180
2022-09-10,All,14048470,42105,2022-09-07,180
2022-09-10,All,14026359,33570,2022-09-06,180
2022-09-10,All,14005381,56884,2022-09-05,180
2022-09-10,All,13964936,8707,2022-09-04,180
2022-09-10,All,13959384,38781,2022-09-03,180
2022-09-10,All,13925438,30479,2022-09-02,180
2022-09-10,All,13909874,66750,2022-09-01,180
2022-09-10,All,13877785,80603,2022-08-31,180
2022-09-10,All,13805493,41075,2022-08-30,180
2022-09-10,All,13787066,76155,2022-08-29,180
2022-09-10,All,13734145,17467,2022-08-28,180
2022-09-10,All,13727010,22048,2022-08-27,180
2022-09-10,All,13707696,33041,2022-08-26,180
2022-09-10,All,13684396,40894,2022-08-25,180
2022-09-10,All,13653692,53048,2022-08-24,180
2022-09-10,All,13615179,43845,2022-08-23,180
2022-09-10,All,13580941,55685,2022-08-22,180
2022-09-10,All,13580941,26288,2022-08-21,180
2022-09-10,All,13542483,30380,2022-08-20,180
2022-09-10,All,13542483,40808,2022-08-19,180
2022-09-10,All,13510361,54463,2022-08-18,180
2022-09-10,All,13462282,21631,2022-08-17,180
2022-09-10,All,13462282,49083,2022-08-16,180
2022-09-10,All,13424881,37263,2022-08-15,180
2022-09-10,All,13412858,21895,2022-08-14,180
2022-09-10,All,13389132,25341,2022-08-13,180
2022-09-10,All,13376100,48142,2022-08-12,180
2022-09-10,All,13335041,53228,2022-08-11,180
2022-09-10,All,13292801,83610,2022-08-10,180
2022-09-10,All,13216030,63753,2022-08-09,180
2022-09-10,All,13185128,71017,2022-08-08,180
2022-09-10,All,13102628,20974,2022-08-07,180
2022-09-10,All,13102628,9237,2022-08-06,180
2022-09-10,All,13098688,40876,2022-08-05,180
2022-09-10,All,13053541,41231,2022-08-04,180
2022-09-10,All,13053539,34932,2022-08-03,180
2022-09-10,All,12937121,37898,2022-08-02,180
2022-09-10,All,12936424,66642,2022-08-01,180
