Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-09-10,OneDrive,136164126576666,2022-09-10,180
2022-09-10,All,136164126576666,2022-09-10,180
2022-09-10,OneDrive,136255646477154,2022-09-09,180
2022-09-10,All,136255646477154,2022-09-09,180
2022-09-10,OneDrive,136041789896973,2022-09-08,180
2022-09-10,All,136041789896973,2022-09-08,180
2022-09-10,OneDrive,136002849386338,2022-09-07,180
2022-09-10,All,136002849386338,2022-09-07,180
2022-09-10,OneDrive,136202876517630,2022-09-06,180
2022-09-10,All,136202876517630,2022-09-06,180
2022-09-10,OneDrive,135969402603601,2022-09-05,180
2022-09-10,All,135969402603601,2022-09-05,180
2022-09-10,OneDrive,135730806706762,2022-09-04,180
2022-09-10,All,135730806706762,2022-09-04,180
2022-09-10,OneDrive,135743566255238,2022-09-03,180
2022-09-10,All,135743566255238,2022-09-03,180
2022-09-10,OneDrive,135751349755597,2022-09-02,180
2022-09-10,All,135751349755597,2022-09-02,180
2022-09-10,OneDrive,135538558143348,2022-09-01,180
2022-09-10,All,135538558143348,2022-09-01,180
2022-09-10,OneDrive,135181054346794,2022-08-31,180
2022-09-10,All,135181054346794,2022-08-31,180
2022-09-10,OneDrive,134650499621494,2022-08-30,180
2022-09-10,All,134650499621494,2022-08-30,180
2022-09-10,OneDrive,134235260899529,2022-08-29,180
2022-09-10,All,134235260899529,2022-08-29,180
2022-09-10,OneDrive,133803509328694,2022-08-28,180
2022-09-10,All,133803509328694,2022-08-28,180
2022-09-10,OneDrive,133752127637851,2022-08-27,180
2022-09-10,All,133752127637851,2022-08-27,180
2022-09-10,OneDrive,133763184118407,2022-08-26,180
2022-09-10,All,133763184118407,2022-08-26,180
2022-09-10,OneDrive,133567120039008,2022-08-25,180
2022-09-10,All,133567120039008,2022-08-25,180
2022-09-10,OneDrive,133220239734391,2022-08-24,180
2022-09-10,All,133220239734391,2022-08-24,180
2022-09-10,OneDrive,132887038666198,2022-08-23,180
2022-09-10,All,132887038666198,2022-08-23,180
2022-09-10,OneDrive,132095834555695,2022-08-22,180
2022-09-10,All,132095834555695,2022-08-22,180
2022-09-10,OneDrive,132095834555695,2022-08-21,180
2022-09-10,All,132095834555695,2022-08-21,180
2022-09-10,OneDrive,131915980775561,2022-08-20,180
2022-09-10,All,131915980775561,2022-08-20,180
2022-09-10,OneDrive,131915980775561,2022-08-19,180
2022-09-10,All,131915980775561,2022-08-19,180
2022-09-10,OneDrive,131599164133638,2022-08-18,180
2022-09-10,All,131599164133638,2022-08-18,180
2022-09-10,OneDrive,131162376608480,2022-08-17,180
2022-09-10,All,131162376608480,2022-08-17,180
2022-09-10,OneDrive,131162376608480,2022-08-16,180
2022-09-10,All,131162376608480,2022-08-16,180
2022-09-10,OneDrive,130992377714050,2022-08-15,180
2022-09-10,All,130992377714050,2022-08-15,180
2022-09-10,OneDrive,130628680178592,2022-08-14,180
2022-09-10,All,130628680178592,2022-08-14,180
2022-09-10,OneDrive,130470978127911,2022-08-13,180
2022-09-10,All,130470978127911,2022-08-13,180
2022-09-10,OneDrive,130566824430173,2022-08-12,180
2022-09-10,All,130566824430173,2022-08-12,180
2022-09-10,OneDrive,130258977529365,2022-08-11,180
2022-09-10,All,130258977529365,2022-08-11,180
2022-09-10,OneDrive,129902394031753,2022-08-10,180
2022-09-10,All,129902394031753,2022-08-10,180
2022-09-10,OneDrive,129458867798405,2022-08-09,180
2022-09-10,All,129458867798405,2022-08-09,180
2022-09-10,OneDrive,129153060953315,2022-08-08,180
2022-09-10,All,129153060953315,2022-08-08,180
2022-09-10,OneDrive,128624488859074,2022-08-07,180
2022-09-10,All,128624488859074,2022-08-07,180
