Report Refresh Date,Report Period,Report Date,Outlook,Word,Excel,PowerPoint,OneNote,Teams
2022-09-09,180,2022-09-09,346,1124,1412,778,47,3913
2022-09-09,180,2022-09-08,362,1287,1604,751,50,4118
2022-09-09,180,2022-09-07,356,1245,1682,788,50,4265
2022-09-09,180,2022-09-06,362,1300,1668,874,86,4223
2022-09-09,180,2022-09-05,375,1389,1750,818,95,4146
2022-09-09,180,2022-09-04,150,450,540,332,21,1873
2022-09-09,180,2022-09-03,121,362,485,209,33,1626
2022-09-09,180,2022-09-02,333,1186,1609,659,45,4018
2022-09-09,180,2022-09-01,355,1227,1628,736,52,4094
2022-09-09,180,2022-08-31,346,1254,1547,724,90,4051
2022-09-09,180,2022-08-30,359,1254,1568,741,90,4137
2022-09-09,180,2022-08-29,363,1324,1615,794,95,4130
2022-09-09,180,2022-08-28,168,457,505,315,30,2015
2022-09-09,180,2022-08-27,130,437,452,264,20,1794
2022-09-09,180,2022-08-26,336,1181,1469,661,80,4131
2022-09-09,180,2022-08-25,351,1285,1490,725,39,4056
2022-09-09,180,2022-08-24,343,1252,1443,746,79,4086
2022-09-09,180,2022-08-23,335,1308,1527,822,78,4145
2022-09-09,180,2022-08-22,331,1257,1576,785,45,4145
2022-09-09,180,2022-08-21,148,474,568,331,22,1933
2022-09-09,180,2022-08-20,139,391,492,272,28,1719
2022-09-09,180,2022-08-19,326,1117,1431,714,48,3870
2022-09-09,180,2022-08-18,329,1224,1547,765,45,4035
2022-09-09,180,2022-08-17,153,578,626,373,17,2251
2022-09-09,180,2022-08-16,336,1353,1670,752,96,4229
2022-09-09,180,2022-08-15,337,1314,1738,817,77,4208
2022-09-09,180,2022-08-14,153,423,541,321,22,1989
2022-09-09,180,2022-08-13,101,267,355,173,21,1711
2022-09-09,180,2022-08-12,329,1035,1386,634,70,4069
2022-09-09,180,2022-08-11,323,1117,1435,732,75,4136
2022-09-09,180,2022-08-10,323,1107,1643,730,30,4257
2022-09-09,180,2022-08-09,321,1130,1533,696,70,4198
2022-09-09,180,2022-08-08,320,1025,1504,745,71,4237
2022-09-09,180,2022-08-07,131,326,510,268,20,1849
2022-09-09,180,2022-08-06,119,273,424,219,10,1530
2022-09-09,180,2022-08-05,322,993,1432,717,56,3882
2022-09-09,180,2022-08-04,322,992,1379,640,71,4007
2022-09-09,180,2022-08-03,302,1040,1416,720,62,4123
2022-09-09,180,2022-08-02,315,1044,1415,681,62,3979
2022-09-09,180,2022-08-01,301,896,1383,648,72,3953
2022-09-09,180,2022-07-31,124,308,491,238,20,1773
2022-09-09,180,2022-07-30,105,254,377,170,20,1468
2022-09-09,180,2022-07-29,310,993,1345,629,33,3720
2022-09-09,180,2022-07-28,316,1112,1405,670,72,3838
2022-09-09,180,2022-07-27,313,1151,1464,709,70,3972
2022-09-09,180,2022-07-26,302,959,1359,629,74,4005
2022-09-09,180,2022-07-25,311,1033,1371,678,44,3963
2022-09-09,180,2022-07-24,128,387,520,279,21,1783
2022-09-09,180,2022-07-23,110,296,438,210,19,1610
2022-09-09,180,2022-07-22,305,973,1295,580,55,3805
2022-09-09,180,2022-07-21,298,997,1401,606,61,3957
2022-09-09,180,2022-07-20,298,1007,1480,611,58,4159
2022-09-09,180,2022-07-19,298,976,1420,632,64,4040
2022-09-09,180,2022-07-18,289,1024,1428,661,65,4078
2022-09-09,180,2022-07-17,128,310,442,244,21,1738
2022-09-09,180,2022-07-16,94,272,378,199,17,1555
2022-09-09,180,2022-07-15,274,816,1281,532,28,3706
