Report Refresh Date,Viewed Or Edited,Synced,Shared Internally,Shared Externally,Report Date,Report Period
2022-09-10,1776,245,1,,2022-09-10,180
2022-09-10,25542,5931,47,2,2022-09-09,180
2022-09-10,4901,2711,37,,2022-09-08,180
2022-09-10,9889,8762,58,2,2022-09-07,180
2022-09-10,8796,6486,59,1,2022-09-06,180
2022-09-10,10928,3003,65,17,2022-09-05,180
2022-09-10,3202,419,11,1,2022-09-04,180
2022-09-10,997,224,6,1,2022-09-03,180
2022-09-10,8375,3079,47,7,2022-09-02,180
2022-09-10,18133,2314,47,20,2022-09-01,180
2022-09-10,6953,2195,83,24,2022-08-31,180
2022-09-10,15292,4034,48,2,2022-08-30,180
2022-09-10,10412,3069,92,1,2022-08-29,180
2022-09-10,1011,252,5,,2022-08-28,180
2022-09-10,1071,166,5,,2022-08-27,180
2022-09-10,6023,1829,39,2,2022-08-26,180
2022-09-10,5600,3143,74,2,2022-08-25,180
2022-09-10,6655,1882,36,4,2022-08-24,180
2022-09-10,5097,4269,43,,2022-08-23,180
2022-09-10,7283,3097,51,3,2022-08-22,180
2022-09-10,1238,854,10,,2022-08-21,180
2022-09-10,786,1195,4,,2022-08-20,180
2022-09-10,7726,1934,41,2,2022-08-19,180
2022-09-10,4016,3444,45,4,2022-08-18,180
2022-09-10,2731,6663,9,,2022-08-17,180
2022-09-10,16575,2474,37,5,2022-08-16,180
2022-09-10,5385,1769,119,1,2022-08-15,180
2022-09-10,1737,341,8,1,2022-08-14,180
2022-09-10,597,1394,9,,2022-08-13,180
2022-09-10,6106,7112,38,2,2022-08-12,180
2022-09-10,5200,4649,45,,2022-08-11,180
2022-09-10,11667,8143,38,1,2022-08-10,180
2022-09-10,6747,6060,64,3,2022-08-09,180
2022-09-10,18943,10244,52,2,2022-08-08,180
2022-09-10,1312,333,12,,2022-08-07,180
2022-09-10,1082,130,4,,2022-08-06,180
2022-09-10,5992,1608,28,1,2022-08-05,180
2022-09-10,10821,2775,37,1,2022-08-04,180
2022-09-10,9343,3207,40,5,2022-08-03,180
2022-09-10,15595,2364,44,1,2022-08-02,180
2022-09-10,7696,2266,37,6,2022-08-01,180
2022-09-10,7656,2016,6,,2022-07-31,180
2022-09-10,578,430,5,,2022-07-30,180
2022-09-10,7991,3083,27,1,2022-07-29,180
2022-09-10,5383,1157,38,1,2022-07-28,180
2022-09-10,8060,2197,37,2,2022-07-27,180
2022-09-10,6242,2690,42,3,2022-07-26,180
2022-09-10,5915,1397,46,3,2022-07-25,180
2022-09-10,979,901,4,,2022-07-24,180
2022-09-10,706,198,6,,2022-07-23,180
2022-09-10,3634,2568,39,3,2022-07-22,180
2022-09-10,4930,2110,36,2,2022-07-21,180
2022-09-10,5409,3009,52,1,2022-07-20,180
2022-09-10,9050,2241,48,1,2022-07-19,180
2022-09-10,8456,4376,39,5,2022-07-18,180
2022-09-10,1960,927,4,,2022-07-17,180
2022-09-10,570,220,,1,2022-07-16,180
2022-09-10,6760,2292,36,1,2022-07-15,180
2022-09-10,6371,21826,34,,2022-07-14,180
2022-09-10,6153,3685,47,5,2022-07-13,180
2022-09-10,4193,1336,34,2,2022-07-12,180
2022-09-10,5025,1429,52,4,2022-07-11,180
2022-09-10,775,228,6,,2022-07-10,180
2022-09-10,865,107,3,,2022-07-09,180
2022-09-10,9614,2293,29,2,2022-07-08,180
2022-09-10,6185,3299,41,4,2022-07-07,180
2022-09-10,10355,9632,31,2,2022-07-06,180
2022-09-10,9352,5937,38,4,2022-07-05,180
2022-09-10,7959,1858,52,4,2022-07-04,180
2022-09-10,909,375,3,,2022-07-03,180
2022-09-10,631,211,2,,2022-07-02,180
2022-09-10,3766,1904,35,,2022-07-01,180
2022-09-10,4328,3353,45,2,2022-06-30,180
2022-09-10,6820,1864,50,6,2022-06-29,180
2022-09-10,4255,3410,51,1,2022-06-28,180
2022-09-10,5376,5401,48,2,2022-06-27,180
2022-09-10,1186,1490,5,,2022-06-26,180
2022-09-10,776,183,7,,2022-06-25,180
2022-09-10,5364,5495,47,1,2022-06-24,180
2022-09-10,4633,1621,64,2,2022-06-23,180
2022-09-10,7872,2116,48,3,2022-06-22,180
2022-09-10,4945,5288,37,2,2022-06-21,180
