Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-09-10,All,2122420,1975,2022-09-10,180
2022-09-10,All,2122226,31044,2022-09-09,180
2022-09-10,All,2099123,7185,2022-09-08,180
2022-09-10,All,2096984,18059,2022-09-07,180
2022-09-10,All,2071894,14362,2022-09-06,180
2022-09-10,All,2059976,12833,2022-09-05,180
2022-09-10,All,2054335,3449,2022-09-04,180
2022-09-10,All,2054177,1212,2022-09-03,180
2022-09-10,All,2051921,10879,2022-09-02,180
2022-09-10,All,2038142,20121,2022-09-01,180
2022-09-10,All,2028368,9311,2022-08-31,180
2022-09-10,All,2023584,17787,2022-08-30,180
2022-09-10,All,2009108,12844,2022-08-29,180
2022-09-10,All,1999770,1168,2022-08-28,180
2022-09-10,All,1999495,1305,2022-08-27,180
2022-09-10,All,1998945,7205,2022-08-26,180
2022-09-10,All,1994294,8266,2022-08-25,180
2022-09-10,All,1989590,7912,2022-08-24,180
2022-09-10,All,1984325,8686,2022-08-23,180
2022-09-10,All,1974295,9628,2022-08-22,180
2022-09-10,All,1974295,1969,2022-08-21,180
2022-09-10,All,1978673,1924,2022-08-20,180
2022-09-10,All,1978676,8994,2022-08-19,180
2022-09-10,All,1972944,6686,2022-08-18,180
2022-09-10,All,1970652,9364,2022-08-17,180
2022-09-10,All,1970652,19054,2022-08-16,180
2022-09-10,All,1956031,6581,2022-08-15,180
2022-09-10,All,1952776,1959,2022-08-14,180
2022-09-10,All,1951923,1939,2022-08-13,180
2022-09-10,All,1951809,12634,2022-08-12,180
2022-09-10,All,1946740,9190,2022-08-11,180
2022-09-10,All,1941389,19224,2022-08-10,180
2022-09-10,All,1930146,12174,2022-08-09,180
2022-09-10,All,1923670,28562,2022-08-08,180
2022-09-10,All,1901066,1554,2022-08-07,180
2022-09-10,All,1901066,1254,2022-08-06,180
2022-09-10,All,1900408,7222,2022-08-05,180
2022-09-10,All,1886694,12709,2022-08-04,180
2022-09-10,All,1886694,11958,2022-08-03,180
2022-09-10,All,1869238,17229,2022-08-02,180
2022-09-10,All,1869238,9290,2022-08-01,180
2022-09-10,All,1834436,9594,2022-07-31,180
2022-09-10,All,1834436,943,2022-07-30,180
2022-09-10,All,1834436,10740,2022-07-29,180
2022-09-10,All,1824554,6076,2022-07-28,180
2022-09-10,All,1824554,9562,2022-07-27,180
2022-09-10,All,1824554,7744,2022-07-26,180
2022-09-10,All,1821815,6730,2022-07-25,180
2022-09-10,All,1819421,1609,2022-07-24,180
2022-09-10,All,1818838,920,2022-07-23,180
2022-09-10,All,1818440,5657,2022-07-22,180
2022-09-10,All,1816278,6400,2022-07-21,180
2022-09-10,All,1814072,6630,2022-07-20,180
2022-09-10,All,1803719,10545,2022-07-19,180
2022-09-10,All,1803719,12212,2022-07-18,180
2022-09-10,All,1794568,2594,2022-07-17,180
2022-09-10,All,1794568,771,2022-07-16,180
2022-09-10,All,1794260,8707,2022-07-15,180
2022-09-10,All,1764076,27923,2022-07-14,180
2022-09-10,All,1764076,9287,2022-07-13,180
2022-09-10,All,1758479,5080,2022-07-12,180
2022-09-10,All,1756496,6060,2022-07-11,180
2022-09-10,All,1753945,937,2022-07-10,180
2022-09-10,All,1753870,951,2022-07-09,180
2022-09-10,All,1753191,11954,2022-07-08,180
2022-09-10,All,1738775,8910,2022-07-07,180
2022-09-10,All,1730914,19455,2022-07-06,180
2022-09-10,All,1730914,14236,2022-07-05,180
2022-09-10,All,1732889,8990,2022-07-04,180
2022-09-10,All,1727833,1246,2022-07-03,180
2022-09-10,All,1727646,827,2022-07-02,180
2022-09-10,All,1727477,5354,2022-07-01,180
2022-09-10,All,1724487,7215,2022-06-30,180
2022-09-10,All,1720746,8384,2022-06-29,180
2022-09-10,All,1723103,7315,2022-06-28,180
2022-09-10,All,1720314,10452,2022-06-27,180
2022-09-10,All,1717444,2785,2022-06-26,180
2022-09-10,All,1716345,947,2022-06-25,180
2022-09-10,All,1716030,10400,2022-06-24,180
