Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-09-10,All,1020,103,2022-09-10,180
2022-09-10,All,1019,262,2022-09-09,180
2022-09-10,All,1017,284,2022-09-08,180
2022-09-10,All,1014,247,2022-09-07,180
2022-09-10,All,1013,256,2022-09-06,180
2022-09-10,All,1013,282,2022-09-05,180
2022-09-10,All,1011,121,2022-09-04,180
2022-09-10,All,1011,101,2022-09-03,180
2022-09-10,All,1011,248,2022-09-02,180
2022-09-10,All,1011,254,2022-09-01,180
2022-09-10,All,1011,253,2022-08-31,180
2022-09-10,All,1010,281,2022-08-30,180
2022-09-10,All,1009,255,2022-08-29,180
2022-09-10,All,1008,125,2022-08-28,180
2022-09-10,All,1008,119,2022-08-27,180
2022-09-10,All,1008,223,2022-08-26,180
2022-09-10,All,1008,242,2022-08-25,180
2022-09-10,All,1007,245,2022-08-24,180
2022-09-10,All,1006,241,2022-08-23,180
2022-09-10,All,1012,275,2022-08-22,180
2022-09-10,All,1012,121,2022-08-21,180
2022-09-10,All,1012,105,2022-08-20,180
2022-09-10,All,1013,231,2022-08-19,180
2022-09-10,All,1012,265,2022-08-18,180
2022-09-10,All,1012,103,2022-08-17,180
2022-09-10,All,1012,248,2022-08-16,180
2022-09-10,All,1012,257,2022-08-15,180
2022-09-10,All,1012,128,2022-08-14,180
2022-09-10,All,1011,84,2022-08-13,180
2022-09-10,All,1011,223,2022-08-12,180
2022-09-10,All,1010,239,2022-08-11,180
2022-09-10,All,1009,252,2022-08-10,180
2022-09-10,All,1011,244,2022-08-09,180
2022-09-10,All,1011,276,2022-08-08,180
2022-09-10,All,1006,112,2022-08-07,180
2022-09-10,All,1006,85,2022-08-06,180
2022-09-10,All,1006,253,2022-08-05,180
2022-09-10,All,988,245,2022-08-04,180
2022-09-10,All,988,242,2022-08-03,180
2022-09-10,All,980,254,2022-08-02,180
2022-09-10,All,981,261,2022-08-01,180
2022-09-10,All,968,112,2022-07-31,180
2022-09-10,All,968,91,2022-07-30,180
2022-09-10,All,968,232,2022-07-29,180
2022-09-10,All,966,236,2022-07-28,180
2022-09-10,All,966,241,2022-07-27,180
2022-09-10,All,966,251,2022-07-26,180
2022-09-10,All,961,239,2022-07-25,180
2022-09-10,All,960,111,2022-07-24,180
2022-09-10,All,960,106,2022-07-23,180
2022-09-10,All,960,215,2022-07-22,180
2022-09-10,All,960,262,2022-07-21,180
2022-09-10,All,959,241,2022-07-20,180
2022-09-10,All,958,249,2022-07-19,180
2022-09-10,All,958,261,2022-07-18,180
2022-09-10,All,957,112,2022-07-17,180
2022-09-10,All,957,98,2022-07-16,180
2022-09-10,All,957,220,2022-07-15,180
2022-09-10,All,957,214,2022-07-14,180
2022-09-10,All,957,237,2022-07-13,180
2022-09-10,All,956,226,2022-07-12,180
2022-09-10,All,956,237,2022-07-11,180
2022-09-10,All,956,88,2022-07-10,180
2022-09-10,All,956,83,2022-07-09,180
2022-09-10,All,956,219,2022-07-08,180
2022-09-10,All,956,244,2022-07-07,180
2022-09-10,All,955,220,2022-07-06,180
2022-09-10,All,955,243,2022-07-05,180
2022-09-10,All,955,246,2022-07-04,180
2022-09-10,All,955,111,2022-07-03,180
