Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-09-10,All,26486770079466,2022-09-10,180
2022-09-10,All,26495610973644,2022-09-09,180
2022-09-10,All,26466300572341,2022-09-08,180
2022-09-10,All,26448438168884,2022-09-07,180
2022-09-10,All,26365980903486,2022-09-06,180
2022-09-10,All,26297677125631,2022-09-05,180
2022-09-10,All,26196978186824,2022-09-04,180
2022-09-10,All,26186627072641,2022-09-03,180
2022-09-10,All,26171579381539,2022-09-02,180
2022-09-10,All,26129908149050,2022-09-01,180
2022-09-10,All,26066369926186,2022-08-31,180
2022-09-10,All,26006410877049,2022-08-30,180
2022-09-10,All,25711346627348,2022-08-29,180
2022-09-10,All,25618331752907,2022-08-28,180
2022-09-10,All,25614596148492,2022-08-27,180
2022-09-10,All,25611078649466,2022-08-26,180
2022-09-10,All,25582710936071,2022-08-25,180
2022-09-10,All,25540894591019,2022-08-24,180
2022-09-10,All,25462167478969,2022-08-23,180
2022-09-10,All,25396706227142,2022-08-22,180
2022-09-10,All,25396706227142,2022-08-21,180
2022-09-10,All,25381677500666,2022-08-20,180
2022-09-10,All,25381690502278,2022-08-19,180
2022-09-10,All,25341387660430,2022-08-18,180
2022-09-10,All,25306690027207,2022-08-17,180
2022-09-10,All,25306690027207,2022-08-16,180
2022-09-10,All,25203483463507,2022-08-15,180
2022-09-10,All,25161259079337,2022-08-14,180
2022-09-10,All,25154105944346,2022-08-13,180
2022-09-10,All,25153250297647,2022-08-12,180
2022-09-10,All,25126986347138,2022-08-11,180
2022-09-10,All,24926108511266,2022-08-10,180
2022-09-10,All,24861875464667,2022-08-09,180
2022-09-10,All,24793699121208,2022-08-08,180
2022-09-10,All,24722443697535,2022-08-07,180
2022-09-10,All,24722443697535,2022-08-06,180
2022-09-10,All,24711611808171,2022-08-05,180
2022-09-10,All,24590193523806,2022-08-04,180
2022-09-10,All,24590193523806,2022-08-03,180
2022-09-10,All,24356482503045,2022-08-02,180
2022-09-10,All,24356483204473,2022-08-01,180
2022-09-10,All,23995396597354,2022-07-31,180
2022-09-10,All,23995396597354,2022-07-30,180
2022-09-10,All,23995396597354,2022-07-29,180
2022-09-10,All,23883459081475,2022-07-28,180
2022-09-10,All,23883459081475,2022-07-27,180
2022-09-10,All,23883459081475,2022-07-26,180
2022-09-10,All,23844338513549,2022-07-25,180
2022-09-10,All,23797868004894,2022-07-24,180
2022-09-10,All,23792947071582,2022-07-23,180
2022-09-10,All,23803184221669,2022-07-22,180
2022-09-10,All,23756664699388,2022-07-21,180
2022-09-10,All,23694369564420,2022-07-20,180
2022-09-10,All,23568534370263,2022-07-19,180
2022-09-10,All,23568534370263,2022-07-18,180
2022-09-10,All,23509534297707,2022-07-17,180
2022-09-10,All,23509534297707,2022-07-16,180
2022-09-10,All,23518244094577,2022-07-15,180
2022-09-10,All,23449211762801,2022-07-14,180
2022-09-10,All,23449211762801,2022-07-13,180
2022-09-10,All,23379607214185,2022-07-12,180
2022-09-10,All,23319056317952,2022-07-11,180
2022-09-10,All,23283689232239,2022-07-10,180
2022-09-10,All,23282301699091,2022-07-09,180
2022-09-10,All,23284462050622,2022-07-08,180
2022-09-10,All,22276307089853,2022-07-07,180
2022-09-10,All,22233829788449,2022-07-06,180
2022-09-10,All,22233829788449,2022-07-05,180
2022-09-10,All,22180497287457,2022-07-04,180
2022-09-10,All,22133362329084,2022-07-03,180
2022-09-10,All,22137129959352,2022-07-02,180
2022-09-10,All,22125258638066,2022-07-01,180
2022-09-10,All,22084273736083,2022-06-30,180
2022-09-10,All,22062717374937,2022-06-29,180
2022-09-10,All,22021932546275,2022-06-28,180
2022-09-10,All,21991486971182,2022-06-27,180
2022-09-10,All,21933304047985,2022-06-26,180
2022-09-10,All,21902972288379,2022-06-25,180
2022-09-10,All,21905583113819,2022-06-24,180
2022-09-10,All,21893770697838,2022-06-23,180
2022-09-10,All,21856225450917,2022-06-22,180
2022-09-10,All,21758469693025,2022-06-21,180
2022-09-10,All,21656204580935,2022-06-20,180
2022-09-10,All,21585402410654,2022-06-19,180
2022-09-10,All,21558327431025,2022-06-18,180
2022-09-10,All,21558327431025,2022-06-17,180
2022-09-10,All,21458460748118,2022-06-16,180
2022-09-10,All,21458460748118,2022-06-15,180
2022-09-10,All,21278204864366,2022-06-14,180
2022-09-10,All,21278204864366,2022-06-13,180
2022-09-10,All,21213144541727,2022-06-12,180
2022-09-10,All,21190293090711,2022-06-11,180
2022-09-10,All,21163642213294,2022-06-10,180
2022-09-10,All,21087058578185,2022-06-09,180
2022-09-10,All,21014957926057,2022-06-08,180
2022-09-10,All,20891999168120,2022-06-07,180
2022-09-10,All,20687177695070,2022-06-06,180
2022-09-10,All,20601348719473,2022-06-05,180
2022-09-10,All,20570723941547,2022-06-04,180
2022-09-10,All,20536241047053,2022-06-03,180
2022-09-10,All,20286159903632,2022-06-02,180
2022-09-10,All,20286159903632,2022-06-01,180
2022-09-10,All,20286159903632,2022-05-31,180
2022-09-10,All,20286159903632,2022-05-30,180
2022-09-10,All,20048341734458,2022-05-29,180
2022-09-10,All,20027714851949,2022-05-28,180
2022-09-10,All,20027714851949,2022-05-27,180
2022-09-10,All,19830408757975,2022-05-26,180
2022-09-10,All,19795245221845,2022-05-25,180
