Report Refresh Date,Report Period,Report Date,ActiveChannelUsers,ActiveChannels,ChannelMessages,Guests,Reactions,Meetings Organized,Post Messages,Reply Messages,Urgent Messages,Mentions,Active Shared Channels,Active External Users
2022-09-10,180,2022-09-10,126,84,1,2,0,0,1,0,0,0,0,0
2022-09-10,180,2022-09-09,809,325,100,2,2,1,23,56,0,26,0,0
2022-09-10,180,2022-09-08,912,357,123,6,2,14,26,59,0,20,0,0
2022-09-10,180,2022-09-07,896,353,100,5,8,5,24,53,0,40,0,0
2022-09-10,180,2022-09-06,993,373,151,5,13,4,24,98,0,38,0,0
2022-09-10,180,2022-09-05,1106,385,166,4,33,7,38,97,0,48,0,0
2022-09-10,180,2022-09-04,231,107,10,0,1,1,4,4,0,5,0,0
2022-09-10,180,2022-09-03,121,81,0,0,0,0,0,0,0,0,0,0
2022-09-10,180,2022-09-02,794,329,234,1,1,5,26,182,0,54,0,0
2022-09-10,180,2022-09-01,747,326,119,7,1,5,28,57,0,47,0,0
2022-09-10,180,2022-08-31,779,339,120,6,7,3,27,65,0,41,0,0
2022-09-10,180,2022-08-30,878,357,130,5,1,8,38,63,0,50,0,0
2022-09-10,180,2022-08-29,887,342,162,6,6,6,37,101,0,48,0,0
2022-09-10,180,2022-08-28,231,130,15,0,0,2,3,9,0,8,0,0
2022-09-10,180,2022-08-27,357,121,14,1,26,3,10,2,0,2,0,0
2022-09-10,180,2022-08-26,822,335,104,0,3,6,14,72,0,31,0,0
2022-09-10,180,2022-08-25,893,327,128,1,7,7,26,79,0,42,0,0
2022-09-10,180,2022-08-24,885,333,142,3,2,7,26,81,0,37,0,0
2022-09-10,180,2022-08-23,897,333,182,1,8,4,25,121,0,50,0,0
2022-09-10,180,2022-08-22,972,390,203,5,19,7,42,131,0,78,0,0
2022-09-10,180,2022-08-21,238,109,6,1,1,1,1,1,0,1,0,0
2022-09-10,180,2022-08-20,160,77,8,2,8,0,2,3,0,4,0,0
2022-09-10,180,2022-08-19,848,308,147,2,6,4,41,72,0,42,0,0
2022-09-10,180,2022-08-18,888,323,100,4,5,12,24,54,0,35,0,0
2022-09-10,180,2022-08-17,193,102,8,2,0,2,2,5,0,5,0,0
2022-09-10,180,2022-08-16,941,338,135,3,4,5,30,77,0,39,0,0
2022-09-10,180,2022-08-15,1084,353,172,6,21,6,53,87,0,45,0,0
2022-09-10,180,2022-08-14,212,118,17,1,1,1,1,11,0,3,0,0
2022-09-10,180,2022-08-13,131,80,2,1,0,1,1,1,0,0,0,0
2022-09-10,180,2022-08-12,861,301,188,6,13,2,36,115,0,54,0,0
2022-09-10,180,2022-08-11,932,362,152,4,6,11,31,83,0,37,0,0
2022-09-10,180,2022-08-10,1060,360,173,4,7,7,36,107,0,48,0,0
2022-09-10,180,2022-08-09,943,359,162,7,5,6,37,89,0,46,0,0
2022-09-10,180,2022-08-08,1257,448,174,5,7,9,40,97,0,53,0,0
2022-09-10,180,2022-08-07,226,138,12,0,0,1,5,2,0,3,0,0
2022-09-10,180,2022-08-06,145,92,2,1,0,0,1,1,0,3,0,0
2022-09-10,180,2022-08-05,764,353,142,7,4,9,22,96,0,26,0,0
2022-09-10,180,2022-08-04,814,351,188,10,4,6,34,116,0,40,0,0
2022-09-10,180,2022-08-03,928,373,163,9,4,10,42,80,0,53,0,0
2022-09-10,180,2022-08-02,912,387,188,10,12,2,51,101,0,63,0,0
2022-09-10,180,2022-08-01,964,398,206,6,8,20,33,133,0,57,0,0
2022-09-10,180,2022-07-31,184,98,11,0,0,7,2,6,0,10,0,0
2022-09-10,180,2022-07-30,125,95,6,0,0,0,1,4,0,3,0,0
2022-09-10,180,2022-07-29,749,307,176,6,4,2,15,129,0,51,0,0
