Report Refresh Date,Team Id,Team Name,Last Activity Date,Team Type,Is Deleted,Report Period,Active Users,Active Channels,Channel Messages,Reactions,Meetings Organized,Post Messages,Reply Messages,Urgent Messages,Mentions,Guests,Active Shared Channels,Active External Users
2022-09-10,00448f49-03f4-4a2d-92b1-e259dec84e7e,ITSP Team,2022-09-10,Private,False,180,6,1,0,0,0,0,0,0,0,1,0,0
2022-09-10,01219490-4a7d-466c-beba-c9900ea55078,DPSI#BI-Prestasi,2022-08-22,Private,False,180,2,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,026ba2af-92ef-436d-aac5-b26c7d53085a,DAI-KASI,2022-08-23,Private,False,180,8,1,2,0,0,2,0,0,0,0,0,0
2022-09-10,033ecbdd-0005-4f29-9c0d-b226a6f3d74f,KRRK-PMO,2022-09-08,Private,False,180,11,5,0,0,1,0,0,0,0,0,0,0
2022-09-10,039f81da-a764-4843-9be4-5e560009ee9a,System & Perangkat,2022-08-15,Private,False,180,5,1,1,0,0,0,1,0,0,0,0,0
2022-09-10,03cab723-b46d-4592-ba04-b865b82a9140,KPwBI Beijing,2022-09-09,Private,False,180,4,1,5,0,0,1,4,0,1,0,0,0
2022-09-10,03f30184-216a-4103-bb69-e653aad615ac,Kolaborasi PM - MPSI,2022-03-09,Private,False,180,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-10,05648613-5bf7-44c1-b47b-a91f44c599d3,DKSP Pengaturan,2022-09-05,Private,False,180,5,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,0623bf21-d871-4aa5-ad2c-b5d8e90a941c,Kelompok 1,2022-09-09,Private,False,180,11,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,06d5e64e-6ed2-426f-8a10-f73aef4662ba,PMO-UKPS,2022-09-05,Private,False,180,11,1,14,0,0,5,9,0,9,0,0,0
2022-09-10,089e5377-400c-4c5a-9198-a4e714602903,KPwBI Provinsi Maluku,2022-09-06,Private,False,180,36,12,39,1,10,10,18,0,3,0,0,0
2022-09-10,09dd9dc1-921b-40d3-b96a-58012ae3e7e3,DKEMers TMI,2022-09-01,Private,False,180,6,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,0af5f6f2-5fd7-40ff-8808-c99c3ed69d3f,ICO BI,2022-09-09,Private,False,180,196,1,29,1,0,6,17,0,3,1,0,0
2022-09-10,0b18862a-1b46-4ba3-a296-a80b93a9058e,KPwBI Provinsi Sulawesi Tenggara,2022-09-10,Private,False,180,40,16,282,61,0,70,199,0,48,0,0,0
2022-09-10,0b2d09f5-286b-4f83-aa87-5efa47e20d95,KKA Warrior,2022-09-09,Private,False,180,12,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,0b6937ba-7279-4146-831c-f9caed3f469b,Klarifikasi Addendum EDW ASBI Tahap III,2022-05-10,Private,False,180,2,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,0c7df324-cdb3-4671-a932-6bbfa1bc03e9,Divisi SPR - DPSP,2022-08-01,Private,False,180,6,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,0c853146-bfc0-47d8-bd6c-9439e70cfc3f,KPwBI Provinsi Sulawesi Barat,2022-09-09,Private,False,180,31,11,3,0,0,1,1,0,0,0,0,0
2022-09-10,0dc53178-0cbf-4412-9db8-8fddb8024911,Amandemen PDG,2022-09-09,Private,False,180,4,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,0e86d6f6-6f19-4682-ab4f-b55dd4babf51,PUSAKA-BI,2022-08-30,Private,False,180,9,5,0,0,0,0,0,0,0,0,0,0
2022-09-10,0f45e5ef-effc-4ccb-b0a6-82f6ae4aaec4,KPwBI Lhokseumawe,2022-09-09,Private,False,180,30,2,1,0,1,1,0,0,0,0,0,0
2022-09-10,0f6fef2b-5939-4620-87ec-185088db0b8f,KPwBI Provinsi D.I. Yogyakarta,2022-09-10,Private,False,180,41,13,145,49,0,103,41,0,2,0,0,0
2022-09-10,0fbd4764-4724-47aa-8596-3c6cd50b52f7,GAPD-Pimpinan,2022-08-24,Private,False,180,1,1,0,0,0,0,0,0,0,0,0,0
2022-09-10,115ef804-148e-4dd4-b8b8-75f473c76289,Kelompok 4: PUR dan Non SDM,2022-09-09,Private,False,180,8,3,34,0,0,10,18,0,0,0,0,0
