Report Refresh Date,Report Period,Report Date,PublicTeams,PrivateTeams,ActivePublicTeams,ActivePrivateTeams
2022-09-10,180,2022-09-10,8,415,2,46
2022-09-10,180,2022-09-09,8,415,3,138
2022-09-10,180,2022-09-08,8,415,4,154
2022-09-10,180,2022-09-07,8,415,4,147
2022-09-10,180,2022-09-06,8,415,4,159
2022-09-10,180,2022-09-05,7,414,5,160
2022-09-10,180,2022-09-04,7,414,2,66
2022-09-10,180,2022-09-03,7,414,3,38
2022-09-10,180,2022-09-02,7,414,4,136
2022-09-10,180,2022-09-01,7,414,4,140
2022-09-10,180,2022-08-31,7,414,3,149
2022-09-10,180,2022-08-30,7,414,3,158
2022-09-10,180,2022-08-29,7,414,4,147
2022-09-10,180,2022-08-28,7,414,3,71
2022-09-10,180,2022-08-27,7,414,3,56
2022-09-10,180,2022-08-26,7,414,3,141
2022-09-10,180,2022-08-25,7,414,4,144
2022-09-10,180,2022-08-24,7,414,4,146
2022-09-10,180,2022-08-23,7,414,4,147
2022-09-10,180,2022-08-22,7,414,5,161
2022-09-10,180,2022-08-21,7,414,3,63
2022-09-10,180,2022-08-20,7,414,3,37
2022-09-10,180,2022-08-19,7,414,3,148
2022-09-10,180,2022-08-18,7,414,3,151
2022-09-10,180,2022-08-17,7,414,3,57
2022-09-10,180,2022-08-16,7,414,3,157
2022-09-10,180,2022-08-15,7,414,5,151
2022-09-10,180,2022-08-14,7,414,3,61
2022-09-10,180,2022-08-13,7,414,3,42
2022-09-10,180,2022-08-12,7,414,4,148
2022-09-10,180,2022-08-11,7,413,4,153
2022-09-10,180,2022-08-10,7,413,4,158
2022-09-10,180,2022-08-09,7,413,4,149
2022-09-10,180,2022-08-08,7,413,4,179
2022-09-10,180,2022-08-07,7,413,3,74
2022-09-10,180,2022-08-06,7,413,3,48
2022-09-10,180,2022-08-05,7,413,3,149
2022-09-10,180,2022-08-04,7,413,5,151
2022-09-10,180,2022-08-03,7,413,4,147
2022-09-10,180,2022-08-02,7,413,4,162
2022-09-10,180,2022-08-01,7,412,3,159
2022-09-10,180,2022-07-31,7,412,3,62
2022-09-10,180,2022-07-30,7,412,2,50
2022-09-10,180,2022-07-29,7,412,3,129
2022-09-10,180,2022-07-28,7,412,3,140
2022-09-10,180,2022-07-27,7,412,4,149
2022-09-10,180,2022-07-26,7,411,5,156
2022-09-10,180,2022-07-25,7,411,5,156
2022-09-10,180,2022-07-24,7,411,3,67
2022-09-10,180,2022-07-23,7,411,2,52
2022-09-10,180,2022-07-22,7,411,3,134
2022-09-10,180,2022-07-21,7,411,5,163
2022-09-10,180,2022-07-20,7,411,4,185
2022-09-10,180,2022-07-19,7,411,4,167
2022-09-10,180,2022-07-18,7,411,3,193
2022-09-10,180,2022-07-17,7,411,3,60
2022-09-10,180,2022-07-16,7,411,3,44
2022-09-10,180,2022-07-15,7,411,4,133
2022-09-10,180,2022-07-14,7,411,5,127
2022-09-10,180,2022-07-13,7,411,4,140
2022-09-10,180,2022-07-12,7,411,3,135
2022-09-10,180,2022-07-11,7,411,4,143
2022-09-10,180,2022-07-10,7,411,3,48
2022-09-10,180,2022-07-09,7,411,2,51
2022-09-10,180,2022-07-08,7,411,3,129
2022-09-10,180,2022-07-07,7,411,4,141
2022-09-10,180,2022-07-06,7,411,4,141
2022-09-10,180,2022-07-05,7,411,3,147
2022-09-10,180,2022-07-04,7,411,4,160
2022-09-10,180,2022-07-03,7,411,2,66
2022-09-10,180,2022-07-02,7,411,3,43
2022-09-10,180,2022-07-01,7,411,4,134
2022-09-10,180,2022-06-30,7,411,4,146
2022-09-10,180,2022-06-29,7,410,3,149
2022-09-10,180,2022-06-28,7,410,3,142
