Report Refresh Date,Report Date,Team Chat Messages,Private Chat Messages,Calls,Meetings,Meetings Organized Count,Meetings Attended Count,Audio Duration,Video Duration,Screen Share Duration,Post Messages,Reply Messages,Report Period
2022-09-08,2022-09-08,85,80061,386,684,395,415,P237DT17H12M26S,P135DT16H12M50S,P227DT2H7M56S,26,59,180
2022-09-08,2022-09-07,77,87231,338,698,423,450,P236DT21H36M46S,P139DT9H51M56S,P219DT8H58M35S,24,53,180
2022-09-08,2022-09-06,122,87163,385,697,435,461,P250DT5H46M53S,P147DT7H40M5S,P238DT19H49M17S,24,98,180
2022-09-08,2022-09-05,135,93143,402,782,428,447,P279DT2H35M36S,P156DT27M30S,P263DT12H15M50S,38,97,180
2022-09-08,2022-09-04,8,3538,27,65,32,36,P17DT11H56M5S,P9DT1M40S,P14DT19H11M53S,4,4,180
2022-09-08,2022-09-03,0,2791,11,30,17,18,P11DT57M38S,P4DT2H17M24S,P11DT41M20S,0,0,180
2022-09-08,2022-09-02,207,67884,360,622,363,382,P157DT17H7M58S,P84DT5H29M55S,P147DT18H57M9S,26,181,180
2022-09-08,2022-09-01,85,73107,342,676,408,433,P182DT20H8M56S,P86DT19H31M30S,P171DT14H16M44S,28,57,180
2022-09-08,2022-08-31,92,77364,327,665,380,402,P185DT19H20M19S,P91DT15H2M5S,P171DT15H48M43S,27,65,180
2022-09-08,2022-08-30,101,83725,407,770,474,491,P250DT7H27M21S,P135DT15H58M25S,P234DT6H23M44S,38,63,180
2022-09-08,2022-08-29,138,91536,388,754,441,458,P277DT13H5M27S,P170DT11H29M22S,P260DT5H15M9S,37,101,180
2022-09-08,2022-08-28,12,4123,19,50,30,32,P13DT2H58M45S,P4DT14H25M27S,P10DT18H53M37S,3,9,180
2022-09-08,2022-08-27,12,2655,28,31,12,18,P13DT8H5M56S,P5DT7H33M52S,P12DT15H26M8S,10,2,180
2022-09-08,2022-08-26,86,71071,313,684,364,386,P228DT3H25M1S,P127DT13H23M34S,P207DT22H52M20S,14,72,180
2022-09-08,2022-08-25,105,78683,393,666,365,383,P229DT15H51M23S,P104DT22H1M57S,P219DT8H10M8S,26,79,180
2022-09-08,2022-08-24,107,76816,322,677,426,444,P197DT10H9M28S,P96DT18H24M57S,P182DT18H25M29S,26,81,180
2022-09-08,2022-08-23,146,80543,380,703,410,431,P231DT4H59M34S,P105DT11H29M22S,P205DT6H57M57S,25,121,180
2022-09-08,2022-08-22,173,95861,365,753,451,467,P260DT16H33M30S,P136DT5H5M28S,P242DT1H54M53S,42,131,180
2022-09-08,2022-08-21,2,6741,50,69,39,41,P18DT11H58M25S,P12DT1H43M20S,P17DT2H58M13S,1,1,180
2022-09-08,2022-08-20,5,5554,19,47,30,33,P23DT11H8M18S,P12DT18H54M46S,P22DT16H55M31S,2,3,180
2022-09-08,2022-08-19,113,73823,335,659,380,395,P202DT10H26M57S,P97DT12H34M5S,P188DT15H4M49S,41,72,180
2022-09-08,2022-08-18,78,74398,381,622,361,388,P227DT18H46M35S,P95DT11H12M1S,P219DT14H10M5S,24,54,180
2022-09-08,2022-08-17,7,4833,18,50,28,31,P12DT46M15S,P5DT5H28M43S,P10DT7H5M56S,2,5,180
2022-09-08,2022-08-16,107,85542,360,738,443,463,P241DT3H36M57S,P116DT21H36M36S,P223DT9H43M43S,30,77,180
2022-09-08,2022-08-15,140,99044,392,797,439,460,P267DT20H48M28S,P156DT14H54M42S,P250DT9H34M28S,53,87,180
2022-09-08,2022-08-14,12,4308,17,60,38,40,P19DT23H54M45S,P8DT20H28M,P19DT16H12M47S,1,11,180
2022-09-08,2022-08-13,2,2504,7,30,19,20,P7DT21H22M36S,P2DT17H30M24S,P7DT19H7M20S,1,1,180
2022-09-08,2022-08-12,151,77616,377,682,413,426,P230DT23H47M6S,P131DT4H5M40S,P219DT2H33M29S,36,115,180
2022-09-08,2022-08-11,113,76901,360,639,362,394,P218DT8H22M1S,P105DT2H55M9S,P204DT5H48M58S,31,82,180
2022-09-08,2022-08-10,142,90345,379,677,409,425,P259DT8H34M34S,P168DT2H52M52S,P241DT8H19M28S,36,106,180
2022-09-08,2022-08-09,125,85987,396,728,434,450,P262DT22H47M26S,P152DT12H36M48S,P250DT53M32S,36,89,180
2022-09-08,2022-08-08,137,91902,392,738,462,473,P276DT10H13M23S,P180DT18H17M8S,P257DT12H22M44S,40,97,180
2022-09-08,2022-08-07,7,4379,37,50,24,25,P42DT8H14M,P14DT1H4M3S,P24DT9H28M28S,5,2,180
2022-09-08,2022-08-06,2,2398,15,24,12,14,P3DT12H53M40S,P1DT12H30M9S,P3DT12H30M48S,1,1,180
2022-09-08,2022-08-05,118,79846,407,653,387,403,P189DT9H55M44S,P101DT17H24M18S,P179DT9H53M20S,22,96,180
