Report Refresh Date,Report Date,Team Chat Messages,Private Chat Messages,Calls,Meetings,Other Actions,Report Period
2022-09-08,2022-09-08,41,2216,469,1744,1459,180
2022-09-08,2022-09-07,41,2315,432,1930,1433,180
2022-09-08,2022-09-06,54,2289,490,1968,1372,180
2022-09-08,2022-09-05,66,2245,515,2101,1278,180
2022-09-08,2022-09-04,7,313,34,239,1427,180
2022-09-08,2022-09-03,0,307,18,96,1267,180
2022-09-08,2022-09-02,48,2049,428,1679,1361,180
2022-09-08,2022-09-01,44,2197,461,1515,1450,180
2022-09-08,2022-08-31,44,2190,433,1666,1376,180
2022-09-08,2022-08-30,54,2239,534,2001,1266,180
2022-09-08,2022-08-29,55,2237,471,2112,1259,180
2022-09-08,2022-08-28,8,337,29,157,1602,180
2022-09-08,2022-08-27,9,290,35,85,1469,180
2022-09-08,2022-08-26,37,2140,408,2040,1265,180
2022-09-08,2022-08-25,44,2185,492,1715,1407,180
2022-09-08,2022-08-24,49,2169,451,1715,1416,180
2022-09-08,2022-08-23,45,2183,505,1859,1413,180
2022-09-08,2022-08-22,66,2262,442,2037,1292,180
2022-09-08,2022-08-21,2,298,45,299,1479,180
2022-09-08,2022-08-20,4,320,26,147,1334,180
2022-09-08,2022-08-19,44,1983,431,1702,1404,180
2022-09-08,2022-08-18,45,2096,446,1732,1435,180
2022-09-08,2022-08-17,5,408,28,127,1769,180
2022-09-08,2022-08-16,47,2141,469,2127,1303,180
2022-09-08,2022-08-15,67,2247,490,2110,1337,180
2022-09-08,2022-08-14,7,309,19,209,1561,180
2022-09-08,2022-08-13,1,294,12,73,1384,180
2022-09-08,2022-08-12,50,2164,469,1978,1286,180
2022-09-08,2022-08-11,56,2197,462,1784,1436,180
2022-09-08,2022-08-10,48,2183,466,2168,1304,180
2022-09-08,2022-08-09,54,2214,497,2071,1279,180
2022-09-08,2022-08-08,65,2225,495,2222,1248,180
2022-09-08,2022-08-07,5,303,42,303,1408,180
2022-09-08,2022-08-06,1,257,20,63,1247,180
2022-09-08,2022-08-05,47,2074,502,1754,1307,180
2022-09-08,2022-08-04,52,2190,588,1847,1282,180
2022-09-08,2022-08-03,53,2175,500,2161,1188,180
2022-09-08,2022-08-02,65,2106,490,1915,1305,180
2022-09-08,2022-08-01,57,2115,479,1953,1279,180
2022-09-08,2022-07-31,6,264,16,141,1427,180
2022-09-08,2022-07-30,4,232,10,35,1219,180
2022-09-08,2022-07-29,46,1951,426,1692,1252,180
2022-09-08,2022-07-28,43,2055,425,1571,1340,180
2022-09-08,2022-07-27,43,2099,463,1756,1364,180
2022-09-08,2022-07-26,43,2128,516,1953,1206,180
2022-09-08,2022-07-25,53,2142,554,2001,1206,180
2022-09-08,2022-07-24,9,284,32,235,1373,180
2022-09-08,2022-07-23,2,296,20,125,1253,180
2022-09-08,2022-07-22,48,1884,463,1507,1477,180
2022-09-08,2022-07-21,56,1932,443,1480,1497,180
2022-09-08,2022-07-20,56,2193,516,1718,1487,180
2022-09-08,2022-07-19,60,2183,557,1997,1216,180
2022-09-08,2022-07-18,54,2065,518,1901,1416,180
2022-09-08,2022-07-17,5,304,42,259,1285,180
2022-09-08,2022-07-16,2,264,29,130,1242,180
2022-09-08,2022-07-15,40,1958,480,1546,1327,180
2022-09-08,2022-07-14,38,1949,470,1490,1382,180
2022-09-08,2022-07-13,49,2002,456,1503,1441,180
2022-09-08,2022-07-12,46,2008,394,1464,1366,180
2022-09-08,2022-07-11,48,1992,442,1699,1341,180
2022-09-08,2022-07-10,9,217,12,129,1298,180
2022-09-08,2022-07-09,5,218,32,87,1157,180
2022-09-08,2022-07-08,48,1938,426,1633,1356,180
