department,block credential,inactive days teams,inactive days onedrive,inactive days sharepoint,active last week onedrive/sharepoint,active last week or,active last week all,active last week teams,active last week onedrive,active last week sharepoint
AB.KANTOR PERWAKILAN BI PROVINSI MALUKU,0.0,3.857142857142857,27.742857142857144,25.02777777777778,0.6666666666666666,0.8611111111111112,0.3888888888888889,0.8611111111111112,0.6388888888888888,0.4166666666666667
BD.KANTOR PERWAKILAN BI PROVINSI JAWA BARAT,0.0,10.597014925373134,67.04477611940298,31.940298507462686,0.5970149253731343,0.8208955223880597,0.29850746268656714,0.7611940298507462,0.44776119402985076,0.47761194029850745
BDL.KANTOR PERWAKILAN BI PROVINSI LAMPUNG,0.0,9.627906976744185,47.83720930232558,42.58139534883721,0.3953488372093023,0.813953488372093,0.18604651162790697,0.7674418604651163,0.3488372093023256,0.27906976744186046
BJM.KANTOR PERWAKILAN BI PROVINSI KALIMANTAN SELATAN,0.0,9.436363636363636,38.25,19.267857142857142,0.6785714285714286,0.875,0.375,0.7857142857142857,0.6071428571428571,0.5
BN.KANTOR PERWAKILAN BI PROVINSI BENGKULU,0.0,29.8,57.793103448275865,39.87096774193548,0.5161290322580645,0.6451612903225806,0.22580645161290322,0.5806451612903226,0.3548387096774194,0.45161290322580644
BNA.KANTOR PERWAKILAN BI PROVINSI ACEH,0.0,8.5625,43.27272727272727,20.424242424242426,0.696969696969697,0.8484848484848485,0.3939393939393939,0.8181818181818182,0.5454545454545454,0.5757575757575758
BPP.KANTOR PERWAKILAN BI BALIKPAPAN,0.0,6.518518518518518,25.807692307692307,20.178571428571427,0.6071428571428571,0.9285714285714286,0.35714285714285715,0.9285714285714286,0.5,0.4642857142857143
BTM.KANTOR PERWAKILAN BI PROVINSI KEPULAUAN RIAU,0.0,7.803921568627451,36.333333333333336,27.745098039215687,0.6078431372549019,0.9215686274509803,0.37254901960784315,0.8823529411764706,0.5882352941176471,0.43137254901960786
CN.KANTOR PERWAKILAN BI CIREBON,0.0,18.613636363636363,56.5,38.02127659574468,0.5106382978723404,0.6808510638297872,0.2978723404255319,0.574468085106383,0.425531914893617,0.44680851063829785
DPR.KANTOR PERWAKILAN BI PROVINSI BALI,0.0,3.4642857142857144,64.58181818181818,34.258620689655174,0.5,0.8793103448275862,0.27586206896551724,0.8448275862068966,0.3793103448275862,0.39655172413793105
GTO.KANTOR PERWAKILAN BI PROVINSI GORONTALO,0.0,4.53125,53.0625,31.03125,0.625,0.90625,0.34375,0.90625,0.5,0.46875
JAP.KANTOR PERWAKILAN BI PROVINSI PAPUA,0.0,5.043478260869565,15.0,24.195652173913043,0.6086956521739131,0.8695652173913043,0.30434782608695654,0.8695652173913043,0.5434782608695652,0.3695652173913043
JB.KANTOR PERWAKILAN BI PROVINSI JAMBI,0.0,18.476190476190474,61.625,29.613636363636363,0.5681818181818182,0.7272727272727273,0.25,0.6818181818181818,0.29545454545454547,0.5227272727272727
JKT.KANTOR PERWAKILAN BI PROVINSI DKI JAKARTA,0.0,4.712121212121212,32.5,15.393939393939394,0.7575757575757576,0.9393939393939394,0.5606060606060606,0.9090909090909091,0.7121212121212122,0.6212121212121212
